Address ,List_Price ,
"668 Sibley Blvd Calumet City, IL 60409","$248,000 ",9/1/18
"14046 S Grace Ave Robbins, IL 60472","$80,000 ",
"1512 W 72nd St Chicago, IL 60636","$190,000 ",
"244 Mantua St Park Forest, IL 60466","$205,000 ",
"5527 W 22nd Pl Cicero, IL 60804","$210,000 ",
"6547 S Saint Lawrence Ave Chicago, IL 60637","$210,000 ",
"324 W 117th St Chicago, IL 60628","$575,000 ",
"7311 S Peoria St Chicago, IL 60621","$907,000 ",
"6828 S Winchester Ave Chicago, IL 60636","$907,000 ",
"1244 W 115th St Chicago, IL 60643","$907,000 ",
"668 Sibley Blvd Calumet City, IL 60409","$907,000 ",
"14046 S Grace Ave Robbins, IL 60472","$907,000 ",
"1512 W 72nd St Chicago, IL 60636","$225,000 ",
"244 Mantua St Park Forest, IL 60466","$145,000 ",
"5527 W 22nd Pl Cicero, IL 60804","$117,000 ",
"6547 S Saint Lawrence Ave Chicago, IL 60637","$173,500 ",
"324 W 117th St Chicago, IL 60628","$160,000 ",
"7311 S Peoria St Chicago, IL 60621","$313,000 ",
"6828 S Winchester Ave Chicago, IL 60636","$150,000 ",
"1244 W 115th St Chicago, IL 60643","$350,000 ",
"5229 S Hermitage Ave Chicago, IL 60609","$58,000 ",
"3315 Clinton Ave Berwyn, IL 60402","$765,000 ",
"2107 Darrow Ave Evanston, IL 60201","$765,000 ",
"6553 S Bell Ave Chicago, IL 60636","$448,500 ",
"6 Minocqua Ct Park Forest, IL 60466","$278,500 ",
"9516 S 53rd Ave Oak Lawn, IL 60453","$180,000 ",
"1442 Kinross St Flossmoor, IL 60422","$160,000 ",
"1928 169th St Hazel Crest, IL 60429","$194,000 ",
"7916 W Metropole St Elmwood Park, IL 60707","$215,000 ",
"76 Forest Ln Elk Grove Village, IL 60007","$260,500 ",
"7135 Sholer Ave Bridgeview, IL 60455","$265,000 ",
"3357 Madison St Lansing, IL 60438","$205,000 ",
"700 W Milburn Ave Mount Prospect, IL 60056","$59,000 ",
"2451 W 79th St Chicago, IL 60652","$85,000 ",
"201 Patricia Ln Prospect Heights, IL 60070","$300,000 ",
