Month,CountyFIPS,CountyName,Property Type,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
201808,06037,"Los Angeles, CA",Single Family Home,1,,740500.000000,-0.0126,0.0579,14501.0,0.0451,0.0469,39.50,0.0128,-0.0247,6596.0,0.0217,0.0990,268.0,0.0806,-0.2118,3804.0,0.1598,0.3654,4670.0,0.5645,0.7316,1602038.0000,-0.0188,0.0368,19171.0,0.1371,0.1585,0.3220,0.1069,0.1273
201808,17031,"Cook, IL",Single Family Home,2,,302549.500000,-0.0312,0.0505,15850.0,-0.0090,-0.0233,48.50,0.0319,-0.0762,5520.0,-0.0261,0.0710,88.0,-0.4500,-0.2281,4026.0,0.0177,-0.0152,1459.0,-0.0464,-0.0895,450293.0000,-0.0222,0.0317,17309.0,-0.0123,-0.0292,0.0921,-0.0036,-0.0067
201808,48201,"Harris, TX",Single Family Home,3,,315049.750000,-0.0156,0.0510,14437.5,0.0279,-0.0136,51.00,0.0200,-0.0192,5452.0,-0.1121,-0.0069,574.0,0.2813,0.5105,5026.0,-0.0312,-0.0012,6189.5,-0.0182,0.0628,473979.0000,-0.0216,0.0555,20627.0,0.0137,0.0081,0.4287,-0.0201,0.0308
201808,04013,"Maricopa, AZ",Single Family Home,4,,360050.000000,-0.0217,0.0435,14238.0,-0.0248,-0.0941,45.00,0.0227,-0.1176,5828.0,0.0437,-0.0145,466.0,-0.3107,-0.1496,6396.0,-0.0105,-0.0028,2.0,0.0000,-0.6000,579167.0000,-0.0211,0.0573,14240.0,-0.0248,-0.0943,0.0001,0.0000,-0.0002
201808,06073,"San Diego, CA",Single Family Home,5,,750050.000000,-0.0322,0.0006,5622.5,0.0775,0.2198,37.00,0.0000,-0.0633,2976.0,-0.0133,0.1517,142.0,0.0143,-0.0658,2332.0,0.1255,0.3931,99.0,4.8235,3.6047,1329358.0000,-0.0060,-0.0144,5721.5,0.0929,0.2355,0.0176,0.0143,0.0129
201808,06059,"Orange, CA",Single Family Home,6,*,967491.250000,-0.0127,0.0265,6196.5,-0.0046,0.0444,44.50,0.0854,0.0114,2162.0,-0.0191,0.0404,112.0,-0.0667,-0.1515,2010.0,0.0806,0.4565,1046.5,36.3750,33.8833,1689666.0000,-0.0077,0.0245,7243.0,0.1583,0.2147,0.1689,0.1644,0.1638
201808,36047,"Kings, NY",Single Family Home,7,,905272.000000,-0.0461,0.0069,890.5,-0.0039,0.5623,79.00,0.0676,0.0227,200.0,-0.0566,0.0417,12.0,0.5000,0.2000,136.0,0.1724,3.5333,311.5,-0.0356,0.5536,1205709.0000,-0.0460,-0.1604,1202.0,-0.0123,0.5600,0.3498,-0.0115,-0.0020
201808,12086,"Miami-Dade, FL",Single Family Home,8,,546500.000000,-0.0065,-0.0064,6240.0,0.0233,0.0228,82.00,0.0000,-0.0061,1688.0,0.0000,-0.0398,142.0,0.0441,-0.0897,1324.0,0.0677,0.1107,2662.5,-0.0325,-0.0726,1363744.0000,-0.0117,-0.0072,8902.5,0.0059,-0.0077,0.4267,-0.0246,-0.0439
201808,48113,"Dallas, TX",Single Family Home,9,,357275.000000,-0.0343,-0.0257,5014.5,-0.0047,0.1133,44.50,0.1711,0.0723,2174.0,-0.0312,0.0130,116.0,-0.1714,-0.0333,2050.0,0.0396,0.1714,1779.0,-0.0358,-0.1243,651468.0000,-0.0456,-0.0253,6793.5,-0.0130,0.0395,0.3548,-0.0114,-0.0963
201808,53033,"King, WA",Single Family Home,10,*,749532.500000,-0.0329,0.0878,3851.0,0.1377,0.5340,31.50,0.0500,0.0862,2312.0,-0.0586,0.0937,48.0,-0.2000,-0.2258,1616.0,0.2907,1.1263,2151.0,-0.1130,16.7769,1094610.0000,-0.0519,0.0170,6002.0,0.0330,1.2808,0.5586,-0.1578,0.5104
201808,36081,"Queens, NY",Single Family Home,11,,758550.000000,-0.0013,0.1510,1939.5,0.0546,0.0248,65.50,0.0565,0.0315,570.0,-0.0306,0.0440,26.0,-0.2778,-0.3500,342.0,0.0823,0.2955,157.0,-0.0710,-0.2698,908708.0000,-0.0100,0.0678,2096.5,0.0441,-0.0052,0.0809,-0.0109,-0.0327
201808,36061,"New York, NY",Single Family Home,12,,9087550.000000,0.0240,0.4396,44.5,-0.1100,-0.6910,186.50,0.1407,0.2951,2.0,-0.5000,-0.9000,0.0,,,4.0,0.0000,-0.5000,2.0,1.0000,-0.9070,11512798.0000,0.0484,0.1879,46.5,-0.0882,-0.7190,0.0449,0.0249,-0.1044
201808,32003,"Clark, NV",Single Family Home,13,,371350.000000,0.0920,0.2376,5496.0,0.1036,-0.4094,35.50,-0.1125,-0.2604,3296.0,0.0871,0.0211,214.0,-0.1769,-0.4153,2418.0,0.3199,0.3615,10.0,-0.0909,-0.9875,590375.0000,0.0517,0.3101,5506.0,0.1032,-0.4551,0.0018,-0.0004,-0.0840
201808,12011,"Broward, FL",Single Family Home,14,,472550.000000,-0.0258,0.0339,5584.0,0.0149,-0.0582,63.00,-0.0156,0.0161,1862.0,0.0414,-0.0159,102.0,-0.2917,-0.2388,1602.0,-0.0621,0.0637,2181.0,-0.0723,-0.1158,873637.0000,-0.0103,0.0272,7765.0,-0.0112,-0.0751,0.3906,-0.0367,-0.0254
201808,06065,"Riverside, CA",Single Family Home,15,,439999.000000,0.0001,0.0352,9160.5,0.0130,0.1982,47.50,0.0326,0.0326,3228.0,-0.0049,0.0598,214.0,0.0700,-0.0696,2788.0,0.0823,0.6478,2015.0,3.9267,1.3595,595229.0000,-0.0217,-0.0119,11175.5,0.1823,0.3148,0.2200,0.1747,0.1083
201808,48439,"Tarrant, TX",Single Family Home,16,,289950.000000,-0.0255,0.0210,5769.0,0.0607,0.1574,39.50,0.1970,0.0395,2598.0,-0.1565,0.0101,152.0,-0.1364,-0.1461,2528.0,0.0310,0.2096,2235.0,-0.1081,-0.0693,397208.0000,-0.0282,0.0033,8004.0,0.0074,0.0837,0.3874,-0.0733,-0.0944
201808,26163,"Wayne, MI",Single Family Home,17,,124475.000000,0.0819,0.0603,4581.5,0.1008,0.0292,40.00,-0.0244,-0.0244,2486.0,0.0073,0.0097,98.0,0.5313,0.2895,1588.0,0.2406,0.1278,27.0,-0.2286,-0.3721,203483.0000,-0.0124,0.0454,4608.5,0.0980,0.0254,0.0059,-0.0025,-0.0038
201808,48029,"Bexar, TX",Single Family Home,18,,265999.750000,-0.0149,0.0180,6776.0,0.0343,0.0072,47.00,0.0444,-0.0505,2674.0,-0.0491,0.0782,284.0,-0.3661,-0.4204,2386.0,-0.0547,0.0179,2268.5,-0.0737,-0.0326,344418.0000,-0.0115,0.0065,9044.5,0.0049,-0.0031,0.3348,-0.0391,-0.0138
201808,06085,"Santa Clara, CA",Single Family Home,19,*,1328974.750000,-0.0487,0.0631,1335.0,0.0818,0.6522,28.50,0.0962,-0.0656,1036.0,0.0000,0.2131,42.0,-0.1250,0.5000,412.0,0.2875,1.5122,904.5,-0.0558,-0.1870,1987545.0000,-0.0323,-0.0108,2239.5,0.0217,0.1661,0.6775,-0.0988,-0.6993
201808,06071,"San Bernardino, CA",Single Family Home,20,*,349950.000000,-0.0003,0.0606,9357.5,0.0317,0.0834,49.00,0.0652,0.0316,3364.0,-0.0036,0.0396,184.0,0.2432,-0.0891,2690.0,0.0394,0.3477,2773.0,1.8470,1.5558,455427.0000,-0.0472,0.0067,12130.5,0.2077,0.2477,0.2963,0.1890,0.1707
