Month,Countyfips,CountyName,Country,PropertyType,NoOfBdrs,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201808,22017,"Caddo, LA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,102500.000000,-0.0678,-0.0044,1163.00000,-0.0144,0.0074,89.86414008493750,-0.0220,-0.0524,41.0,-0.1087,-0.0575,0.1951,0.1219,-0.3210,88.50,-4.50,-0.0484,25.50,0.4048,8.0,-0.3333,-0.2000,0.0,,,8.0,0.0000,0.0000,0.0,,-1.0000,41.0,-0.1087,-0.2407,0.0000,0.0000,-0.2414,0.0197,-0.0377,0.1750,0.0444,1,0
201808,39159,"Union, OH",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,321462.250000,-0.1280,0.5914,1814.00000,-0.0463,0.0900,163.16976639740975,-0.0407,0.3726,5.5,0.8333,1.2000,0.2727,-0.5910,,37.25,0.25,0.0068,-87.00,-0.7002,0.0,,,0.0,,,0.0,,,0.0,,-1.0000,5.5,0.8333,-0.3529,0.0000,0.0000,-2.4000,0.5906,0.5860,-0.1404,-0.4269,1,0
201808,23003,"Aroostook, ME",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,134700.000000,0.0132,-0.0019,1815.00000,-0.0740,0.1902,76.19879473528475,0.1237,-0.1066,2.0,-0.3333,-0.4286,0.0000,-1.0000,-1.0000,90.50,-6.50,-0.0670,0.25,0.0028,0.0,,,0.0,,,0.0,,,0.0,,,2.0,-0.3333,-0.4286,0.0000,0.0000,0.0000,-0.1286,-0.0896,0.0000,0.3333,0,0
201808,17195,"Whiteside, IL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,109950.000000,-0.0838,-0.0816,1362.50000,0.0792,0.1996,85.63888888888850,-0.0963,-0.0905,8.0,-0.2727,-0.3333,0.0000,-1.0000,-1.0000,101.00,34.50,0.5188,-68.25,-0.4032,0.0,-1.0000,,0.0,,,0.0,,,2.0,,1.0000,10.0,-0.0909,-0.2308,0.2500,0.2500,0.1667,-0.5144,-0.2033,-0.3387,0.0000,1,0
201808,48171,"Gillespie, TX",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,265050.000000,0.0000,-0.3187,1320.00000,0.0000,-0.4038,200.75757575757500,0.0000,0.1426,1.0,0.0000,0.0000,0.0000,,,77.50,31.50,0.6848,41.00,1.1233,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0521,0.2625,0.0521,0.2625,0,0
201808,01031,"Coffee, AL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,96150.000000,0.0010,0.1543,1380.00000,0.0000,0.0000,64.77720019342300,0.0116,0.0756,32.0,0.0667,0.1228,0.2031,0.0155,-0.0352,73.50,8.50,0.1308,-55.00,-0.4280,10.0,,0.2500,0.0,,,2.0,-0.5000,0.0000,0.0,,,32.0,0.0667,0.1228,0.0000,0.0000,0.0000,0.1166,0.6836,0.0385,0.6875,0,0
201808,42111,"Somerset, PA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,139050.000000,-0.0032,-0.0541,1002.25000,0.0180,0.0185,136.27450980392100,0.0270,0.0742,28.5,-0.1094,0.0556,0.0175,-0.8880,-0.8650,150.00,18.00,0.1364,75.25,1.0067,0.0,-1.0000,-1.0000,0.0,,,2.0,,,0.0,,,28.5,-0.1094,0.0556,0.0000,0.0000,0.0000,0.0370,0.4251,0.1458,0.2791,0,1
201808,19063,"Emmet, IA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,120000.000000,-0.0906,-0.3141,1850.00000,0.3543,0.5678,79.45890503093825,-0.2576,-0.4640,2.0,-0.5000,1.0000,0.0000,-1.0000,-1.0000,110.50,52.00,0.8889,107.50,35.8333,0.0,,-1.0000,0.0,,,0.0,,,0.0,,,2.0,-0.5000,1.0000,0.0000,0.0000,0.0000,-0.5967,0.1204,-0.3478,-0.4444,0,0
201808,51520,"Bristol, VA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,85600.000000,0.1421,0.3124,1135.75000,0.0444,0.0042,81.74201529464650,0.3411,0.4961,6.0,0.2000,-0.6842,0.4999,1.4995,2.8015,34.50,-39.50,-0.5338,-55.00,-0.6145,4.0,,0.0000,0.0,,,0.0,,-1.0000,1.0,-0.6667,-0.5000,7.0,-0.1250,-0.6667,0.1667,-0.4333,0.0614,1.4390,0.3405,0.3922,2.3023,0,0
201808,53035,"Kitsap, WA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,329672.500000,-0.2244,-0.3280,1184.75000,0.0466,-0.0344,297.04780038305475,-0.1951,-0.1463,11.5,0.9167,-0.4524,0.9564,1.8694,1.6782,14.75,-27.75,-0.6529,-37.25,-0.7163,12.0,0.5000,0.0000,0.0,,,6.0,,0.0000,8.0,-0.2000,,19.5,0.2188,-0.0714,0.6957,-0.9710,0.6957,0.9621,-0.1959,0.1024,0.6195,1,0
201808,05125,"Saline, AR",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,109950.000000,0.0000,0.0000,1336.00000,0.0000,0.0000,82.26047904191600,0.0000,0.0000,1.0,0.0000,0.0000,0.0000,,,834.50,31.50,0.0392,364.00,0.7736,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,0,0
201808,36007,"Broome, NY",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,120950.000000,0.0079,-0.0473,1738.00000,0.0755,0.1352,70.05832224193950,-0.0205,-0.1811,13.5,0.3500,0.2857,0.4073,1.0375,3.2783,77.50,-3.00,-0.0373,-3.00,-0.0373,4.0,0.0000,1.0000,0.0,,,4.0,,1.0000,2.0,0.0000,-0.4286,15.5,0.2917,0.1071,0.1481,-0.0519,-0.1852,0.8361,1.9613,0.1923,1.1379,1,0
201808,12063,"Jackson, FL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,179050.000000,0.0000,,1300.00000,0.0000,,137.69230769230700,0.0000,,1.0,0.0000,,0.0000,,,93.50,31.50,0.5081,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,,0.0000,0.0000,,0.5625,,0.5625,,0,0
