Month,Countyfips,CountyName,Country,PropertyType,NoOfBdrs,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201808,15003,"Honolulu, HI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,9226300.000000,0.0280,-0.6115,9351.00000,0.1380,-0.1155,1057.14482327802475,-0.0322,-0.5307,2.0,1.0000,0.0000,0.5000,,,105.75,-65.25,-0.3816,-128.25,-0.5481,2.0,,,0.0,,,0.0,,,0.0,,,2.0,1.0000,0.0000,0.0000,0.0000,0.0000,3.0938,0.6653,0.6563,0.3590,0,0
201808,49033,"Rich, UT",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,289050.000000,0.0000,,2425.00000,0.0000,,119.17525773195800,0.0000,,1.0,0.0000,,0.0000,-1.0000,,37.50,24.50,1.8846,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,,0.0000,0.0000,,-0.5227,,-0.5227,,0,0
201808,37119,"Mecklenburg, NC",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,750050.000000,0.0000,-0.3589,4891.00000,0.0000,0.1520,153.34287466775700,0.0000,-0.4773,1.0,0.0000,-0.5000,0.0000,,,327.50,31.50,0.1064,69.50,0.2694,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,-0.5000,0.0000,0.0000,0.0000,0.1739,-0.2552,0.1739,0.5000,0,0
201808,13127,"Glynn, GA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,332040.000000,-0.8669,-0.8472,,,,,,,1.0,0.0000,-0.5000,1.0000,,,12.00,-833.00,-0.9858,-629.50,-0.9813,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,-0.5000,0.0000,0.0000,0.0000,1.0000,-0.2381,0.5238,0.5238,0,0
201808,06071,"San Bernardino, CA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,210050.000000,-0.7272,,4057.00000,0.2225,,51.76238599950700,-0.7612,,0.0,-1.0000,,,,,150.00,72.25,0.9293,,,0.0,-1.0000,,0.0,,,0.0,,,0.0,,,0.0,-1.0000,,,,,-1.0000,,,,0,0
201808,42133,"York, PA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,119550.000000,0.2952,,2888.00000,0.0964,,41.37811634349000,0.2047,,1.0,1.0000,,1.0000,0.0000,,21.50,17.50,4.3750,,,0.0,-1.0000,,0.0,,,0.0,,,0.0,,,1.0,1.0000,,0.0000,0.0000,,-0.3718,,-0.5984,,0,0
201808,35001,"Bernalillo, NM",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,400049.000000,0.0000,-0.1091,4285.00000,0.0000,0.0000,93.34865810968400,-0.0001,-0.1092,1.0,0.0000,0.0000,1.0000,,0.0000,21.50,-80.50,-0.7892,-1.00,-0.0444,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.9643,0.1579,0.9643,0.1579,0,0
201808,27161,"Waseca, MN",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,199050.000000,0.0000,,9328.00000,0.0000,,21.33361921097700,0.0000,,1.0,0.0000,,0.0000,,,75.50,31.50,0.7159,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,,0.0000,0.0000,,-0.2586,,-0.2586,,0,0
201808,19067,"Floyd, IA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,39800.000000,0.0000,,2892.00000,0.0000,,13.74481327800800,0.0000,,1.0,0.0000,,0.0000,,,180.50,31.50,0.2114,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,,0.0000,0.0000,,-0.2857,,-0.2857,,0,0
201808,26125,"Oakland, MI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_5+,375000.000000,-0.0855,0.0079,3659.50000,-0.1694,-0.0559,107.88173649545350,0.1593,0.1240,2.0,1.0000,1.0000,0.5000,,,63.25,-24.75,-0.2813,-44.25,-0.4116,2.0,,,0.0,,,0.0,,,0.0,,,2.0,1.0000,1.0000,0.0000,0.0000,0.0000,23.8889,0.3785,11.4444,-0.3108,0,0
