Month,Countyfips,CountyName,Country,PropertyType,Price Tier,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201808,53057,"Skagit, WA",USA,Condo/Townhome/Row Home/Co-Op,price_100_200k,509.75000,-0.0281,-0.4825,1397.60894260200000,0.0008,6.4604,5.0,-0.1667,0.4286,0.0000,-1.0000,-1.0000,79.50,31.50,0.6563,49.75,1.6723,0.0,,-1.0000,0.0,,,0.0,,,1.5,0.5000,,6.5,-0.0714,0.8571,0.3000,0.1333,0.3000,-0.3459,-0.6081,-0.2273,-0.7589,1,0
201808,41009,"Columbia, OR",USA,Condo/Townhome/Row Home/Co-Op,price_100_200k,1320.00000,-0.1791,-0.0632,109.77272727272700,-0.0189,-0.1979,1.0,0.0000,0.0000,0.0000,,-1.0000,41.00,-59.00,-0.5900,0.50,0.0123,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0273,-0.0813,0.3452,-0.0342,0,0
201808,50003,"Bennington, VT",USA,Condo/Townhome/Row Home/Co-Op,price_100_200k,1200.00000,0.0000,0.0000,120.77641984184000,0.0000,-0.0376,17.0,-0.1053,-0.4138,0.0294,-0.8139,-0.5740,164.75,15.75,0.1057,-65.25,-0.2837,0.0,,-1.0000,0.0,,,0.0,,-1.0000,0.0,,,17.0,-0.1053,-0.4138,0.0000,0.0000,0.0000,0.1252,0.0867,0.2759,0.8500,0,0
201808,53035,"Kitsap, WA",USA,Condo/Townhome/Row Home/Co-Op,price_100_200k,1061.50000,0.1588,0.0804,153.46283481196325,-0.1484,0.0710,7.0,2.5000,0.4000,0.8571,-0.1429,0.7142,12.25,2.25,0.2250,-24.75,-0.6689,8.0,1.0000,0.3333,0.0,,,4.0,,,6.5,0.6250,,13.5,1.2500,1.7000,0.9286,-1.0714,0.9286,2.4286,0.3577,-0.0427,0.1852,1,0
201808,05119,"Pulaski, AR",USA,Condo/Townhome/Row Home/Co-Op,price_100_200k,1164.50000,0.0091,0.0351,111.46933863203100,0.0102,-0.0134,49.5,-0.0481,-0.0571,0.2828,1.1026,0.3498,90.75,-31.25,-0.2561,3.75,0.0431,20.0,1.5000,0.4286,0.0,,,8.0,1.0000,-0.3333,0.0,,,49.5,-0.0481,-0.0571,0.0000,0.0000,0.0000,0.2904,0.1472,0.2778,0.2432,0,0
201808,16013,"Blaine, ID",USA,Condo/Townhome/Row Home/Co-Op,price_100_200k,534.00000,-0.1734,-0.2680,330.95629313177700,0.3175,0.3190,16.5,-0.1750,-0.2143,0.1212,-0.5959,-0.1513,83.50,31.50,0.6058,-13.00,-0.1347,4.0,0.0000,0.0000,0.0,,,8.0,1.0000,1.0000,8.0,1.6667,0.6000,24.5,0.0652,-0.0577,0.4848,0.3348,0.2468,-0.2157,-0.1705,-0.0333,0.0545,1,0
201808,21143,"Lyon, KY",USA,Condo/Townhome/Row Home/Co-Op,price_100_200k,1250.00000,0.0000,0.0309,120.50336438923350,0.0000,-0.0082,2.0,0.0000,-0.6364,0.0000,-1.0000,-1.0000,373.50,31.50,0.0921,106.25,0.3976,0.0,,,0.0,,,0.0,,,0.0,,,2.0,0.0000,-0.6364,0.0000,0.0000,0.0000,-0.1111,-0.8270,-0.1111,-0.5000,0,0
201808,22125,"West Feliciana, LA",USA,Condo/Townhome/Row Home/Co-Op,price_100_200k,1120.00000,0.0099,0.0136,149.82534181391350,-0.0125,0.0157,1.0,-0.5000,-0.8889,0.0000,,,142.25,19.75,0.1612,24.25,0.2055,0.0,,,0.0,,,0.0,,,0.0,,,1.0,-0.5000,-0.8889,0.0000,0.0000,0.0000,-0.0526,-0.6000,0.7500,2.2667,0,0
201808,20209,"Wyandotte, KS",USA,Condo/Townhome/Row Home/Co-Op,price_100_200k,1775.25000,0.0409,0.1755,94.10045674743275,-0.0632,-0.1264,9.5,-0.0500,0.0556,0.4210,-0.2984,0.5160,38.50,13.50,0.5400,-45.00,-0.5389,4.0,0.0000,0.0000,0.0,,,0.0,,-1.0000,0.0,,,9.5,-0.0500,0.0556,0.0000,0.0000,0.0000,0.0600,0.5824,0.0048,0.5036,0,1
201808,36117,"Wayne, NY",USA,Condo/Townhome/Row Home/Co-Op,price_100_200k,1257.50000,0.0000,-0.3875,120.16791805158550,0.0000,0.2991,2.0,0.0000,1.0000,0.0000,,-1.0000,145.00,31.50,0.2775,118.50,4.4717,0.0,,,0.0,,,0.0,,,0.0,,,2.0,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0921,-0.4000,-0.1053,-0.7043,0,0
