Month,Countyfips,CountyName,Country,PropertyType,Price Tier,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201808,06041,"Marin, CA",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,1469.00000,-0.0088,0.0433,601.74199983663100,0.0279,0.0012,19.0,-0.0500,1.3750,0.4736,0.1840,0.0827,34.00,-1.00,-0.0286,-5.50,-0.1392,10.0,-0.1667,0.6667,0.0,,,6.0,,,0.0,,-1.0000,19.0,-0.0500,0.2667,0.0000,0.0000,-0.8750,0.1026,1.1763,0.1319,-0.0507,1,0
201808,12103,"Pinellas, FL",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,1973.50000,0.0110,-0.0512,439.65160945108625,-0.0166,0.0347,78.0,-0.1236,-0.0488,0.0833,-0.4299,-0.3789,115.75,22.75,0.2446,-5.50,-0.0454,10.0,-0.1667,0.2500,0.0,,-1.0000,16.0,1.0000,3.0000,29.5,-0.0781,-0.1194,107.5,-0.1116,-0.0693,0.3782,0.0187,-0.0303,-0.0798,0.0985,0.0263,0.1584,0,0
201808,50025,"Windham, VT",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,2635.00000,-0.0234,0.0979,313.70993589743550,0.0531,-0.1143,11.0,0.2222,-0.3529,0.1818,0.6363,5.1836,192.00,-123.00,-0.3905,-61.50,-0.2426,2.0,,,0.0,,,0.0,,,0.0,,,11.0,0.2222,-0.3529,0.0000,0.0000,0.0000,0.2705,-0.0491,0.0833,0.4444,0,0
201808,48245,"Jefferson, TX",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,1590.00000,0.0000,,534.59119496855300,0.0000,,1.0,0.0000,,0.0000,,,380.50,28.00,0.0794,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,,0.0000,0.0000,,-0.0625,,-0.0625,,0,0
201808,41047,"Marion, OR",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,2944.00000,0.0000,,339.50407608695600,0.0000,,3.0,0.5000,,0.3333,,,160.50,31.50,0.2442,,,0.0,,,0.0,,,0.0,,,0.0,,,3.0,0.5000,,0.0000,0.0000,,1.5303,,0.2576,,0,0
201808,51067,"Franklin, VA",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,4366.00000,0.0000,,188.96014658726500,0.0000,,1.0,0.0000,,0.0000,,,3758.50,31.50,0.0085,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,,0.0000,0.0000,,0.4375,,0.4375,,0,0
201808,34021,"Mercer, NJ",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,3286.00000,0.1300,0.2486,236.25753349299550,-0.1347,-0.3064,2.0,-0.6667,-0.7647,0.0000,-1.0000,-1.0000,214.00,121.00,1.3011,70.00,0.4861,0.0,,,0.0,,,0.0,,,0.0,,,2.0,-0.6667,-0.7647,0.0000,0.0000,0.0000,-0.6479,-0.6781,0.0114,0.3088,0,0
201808,27019,"Carver, MN",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,3320.00000,0.0000,,228.61445783132500,0.0000,,1.0,0.0000,,1.0000,0.0000,,15.00,10.50,2.3333,,,0.0,-1.0000,,0.0,,,0.0,,,0.0,,,1.0,0.0000,,0.0000,0.0000,,0.2545,,0.2545,,0,0
201808,37097,"Iredell, NC",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,3767.00000,0.0000,,244.52928387741800,0.0000,,2.0,0.0000,,0.0000,,,183.50,17.50,0.1054,,,0.0,,,0.0,,,0.0,,,0.0,,,2.0,0.0000,,0.0000,0.0000,,0.3421,,-0.0377,,0,0
201808,53015,"Cowlitz, WA",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,3148.00000,0.0000,,253.81194409148600,0.0000,,1.0,0.0000,,0.0000,,,90.00,28.00,0.4516,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,,0.0000,0.0000,,0.1111,,0.2222,,0,0
201808,12111,"St. Lucie, FL",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,2759.00000,0.0000,0.0471,347.58970641536700,0.0385,0.0817,32.5,-0.0152,1.5000,0.1692,1.7920,,112.25,5.25,0.0491,-35.25,-0.2390,2.0,,,0.0,,,0.0,,,3.0,2.0000,,35.5,0.0441,1.7308,0.0923,0.0620,0.0923,0.1047,1.9732,0.1316,0.6538,0,0
201808,06067,"Sacramento, CA",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,2092.00000,-0.0768,-0.1075,417.64684362480400,-0.0489,0.0938,2.0,1.0000,1.0000,0.5000,-0.5000,,30.50,18.00,1.4400,-25.00,-0.4505,0.0,-1.0000,,0.0,,,0.0,,,0.0,-1.0000,,2.0,0.0000,1.0000,0.0000,-1.0000,0.0000,0.3397,0.7376,-0.4422,-0.3069,0,0
201808,40143,"Tulsa, OK",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,5234.00000,0.0000,,152.84677111196000,0.0000,,3.0,0.0000,,0.0000,,,62.50,31.50,1.0161,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,,4.0,0.0000,,0.3333,0.0000,,-0.1923,,-0.1833,,0,0
201808,47065,"Hamilton, TN",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,3093.00000,-0.0334,0.0344,302.09833389149350,0.0034,0.0893,4.0,-0.2000,-0.2727,0.0000,-1.0000,-1.0000,151.50,1.50,0.0100,85.25,1.2868,0.0,,,0.0,,,0.0,,,0.0,,,4.0,-0.2000,-0.2727,0.0000,0.0000,0.0000,-0.3021,-0.5228,-0.0208,-0.2540,0,0
201808,48061,"Cameron, TX",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,2244.00000,0.0000,0.1700,387.00323166497450,-0.0031,-0.0793,34.0,-0.0811,0.0149,0.0588,1.1777,0.3154,422.50,11.50,0.0280,199.25,0.8925,0.0,,,0.0,,,2.0,,,0.0,,,34.0,-0.0811,0.0149,0.0000,0.0000,0.0000,0.1356,0.3673,0.1818,0.3684,0,0
201808,42017,"Bucks, PA",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,3510.25000,-0.0728,-0.0654,241.10185396923250,0.0387,0.0445,9.5,-0.0500,-0.4865,0.0000,-1.0000,-1.0000,96.75,27.75,0.4022,-9.50,-0.0894,0.0,,-1.0000,0.0,,,0.0,-1.0000,-1.0000,0.0,,-1.0000,9.5,-0.0500,-0.5957,0.0000,0.0000,-0.2703,-0.2391,-0.3730,-0.2313,0.1977,1,0
201808,08037,"Eagle, CO",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,1585.50000,-0.0066,0.0410,556.72563853803225,-0.0017,-0.0643,41.5,0.0122,-0.0568,0.1686,-0.0124,0.1415,100.25,-20.75,-0.1715,1.75,0.0178,8.0,0.0000,0.0000,0.0,,,8.0,-0.3333,1.0000,0.0,-1.0000,,41.5,-0.0119,-0.0568,0.0000,-0.0244,0.0000,0.0099,0.1047,0.0000,0.1818,0,0
201808,30029,"Flathead, MT",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,2844.75000,-0.1220,-0.1589,350.07452881780875,0.1610,0.4530,11.5,0.0455,-0.3611,0.0869,-0.5221,-0.2179,146.50,31.50,0.2739,22.50,0.1815,0.0,,,0.0,,,0.0,,-1.0000,0.0,,,11.5,0.0455,-0.3611,0.0000,0.0000,0.0000,-0.2140,-0.4641,-0.2400,-0.1739,0,0
201808,26021,"Berrien, MI",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,2650.00000,-0.1050,0.1897,342.58315923739400,0.2767,-0.1946,2.0,1.0000,0.0000,0.5000,,,546.00,-493.00,-0.4745,-188.50,-0.2566,0.0,,,0.0,,,0.0,,,0.0,,,2.0,1.0000,0.0000,0.0000,0.0000,0.0000,4.9545,1.0630,1.9545,1.0635,0,0
201808,17043,"DuPage, IL",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,2987.00000,0.0074,-0.0638,276.24663072776200,-0.0521,0.1009,36.5,-0.0135,1.9200,0.3287,-0.2399,0.0275,46.25,-4.75,-0.0931,-9.25,-0.1667,8.0,-0.3333,3.0000,0.0,,,0.0,-1.0000,-1.0000,3.0,0.5000,,39.5,0.0128,2.1600,0.0822,0.0281,0.0822,-0.1196,1.8182,-0.1324,-0.0781,0,0
201808,25013,"Hampden, MA",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,3261.00000,0.0000,0.0191,259.05792195071250,0.0000,-0.1669,2.0,0.0000,0.0000,0.0000,,,88.00,31.50,0.5575,-262.50,-0.7489,0.0,,,0.0,,,0.0,,,0.0,,,2.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.2600,2.5000,0.2600,0.7500,0,0
201808,06059,"Orange, CA",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,1838.75000,-0.0023,-0.0129,467.70753765333975,0.0031,0.0125,347.0,0.0389,0.4797,0.4091,-0.0239,-0.0548,46.00,6.50,0.1646,6.50,0.1646,134.0,0.0806,0.4889,4.0,-0.5000,0.0000,90.0,-0.0625,0.6667,58.5,,57.5000,405.5,0.2141,0.7219,0.1686,0.1686,0.1643,-0.0064,0.2300,-0.0755,-0.1695,1,0
201808,51810,"Virginia Beach city, VA",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,2480.00000,-0.0070,0.0271,371.75461821415550,0.0553,0.0112,20.0,0.1765,0.2121,0.2749,3.6751,0.5121,91.25,1.25,0.0139,-17.75,-0.1628,4.0,,0.0000,0.0,,,4.0,,,0.0,,,20.0,0.1765,0.2121,0.0000,0.0000,0.0000,0.3238,-0.0570,0.1875,-0.1972,0,0
201808,04015,"Mohave, AZ",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,2002.00000,0.0000,-0.1583,474.47552447552400,0.0000,0.1107,1.0,0.0000,0.0000,0.0000,,-1.0000,138.50,31.50,0.2944,88.25,1.7562,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.6296,-0.5243,0.6296,-0.3231,0,0
201808,34009,"Cape May, NJ",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,1795.75000,-0.0068,0.0114,481.34504538235425,-0.0063,-0.0202,120.5,0.0042,-0.1041,0.2365,0.1830,0.5904,72.25,1.25,0.0176,-24.25,-0.2513,28.0,0.1667,0.4000,2.0,,,14.0,-0.1250,-0.3000,1.5,0.5000,-0.9231,122.0,0.0083,-0.2078,0.0124,0.0041,-0.1325,0.0255,0.2443,0.0460,0.4331,0,1
201808,55009,"Brown, WI",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,3146.50000,0.0000,,254.69830486863200,0.0000,,2.0,0.0000,,0.0000,,,299.50,31.50,0.1175,,,0.0,,,0.0,,,0.0,,,0.0,,,2.0,0.0000,,0.0000,0.0000,,-0.8333,,-0.8333,,0,0
201808,08049,"Grand, CO",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,1978.88500,0.0000,-0.3035,499.97088346175450,0.0000,0.5191,4.0,0.0000,-0.6190,0.1250,-0.5000,-0.1247,143.00,-9.00,-0.0592,42.25,0.4194,0.0,,-1.0000,0.0,,,0.0,,,0.0,,,4.0,0.0000,-0.6190,0.0000,0.0000,0.0000,0.0823,-0.4802,-0.0345,0.8667,0,0
201808,16013,"Blaine, ID",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,2364.00000,-0.0051,0.1574,371.51703026912750,0.0000,-0.1108,22.0,0.0000,-0.1020,0.0909,-0.6001,-0.5050,88.00,-14.00,-0.1373,11.00,0.1429,2.0,-0.5000,,0.0,,,4.0,0.0000,1.0000,4.5,-0.2500,0.0000,26.5,-0.0536,-0.0862,0.2045,-0.0682,0.0209,0.1558,0.4267,0.1333,0.7000,0,0
201808,51700,"Newport News city, VA",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,,,,,,,1.0,0.0000,0.0000,0.0000,,,2211.50,31.50,0.0144,364.00,0.1970,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,-0.4118,0.6667,-0.4118,0,0
201808,27123,"Ramsey, MN",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,2913.50000,-0.0296,0.0069,304.35813383539475,0.0463,-0.0322,7.5,-0.0625,1.5000,0.2000,-0.6000,-0.4000,50.25,13.25,0.3581,-134.25,-0.7276,0.0,,-1.0000,0.0,,,0.0,,,3.5,0.1667,0.0000,11.0,0.0000,0.6923,0.4667,0.0917,-0.7000,-0.0816,1.2261,-0.0238,-0.1277,1,0
201808,42101,"Philadelphia, PA",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,2206.50000,0.0740,0.0450,386.96099133140650,-0.0293,-0.0500,93.5,-0.0361,0.0936,0.2245,-0.2492,-0.2323,64.25,16.25,0.3385,-5.50,-0.0789,26.0,-0.2778,0.1818,2.0,,,18.0,-0.2500,0.0000,0.0,,-1.0000,93.5,-0.0361,-0.2110,0.0000,0.0000,-0.3860,-0.0988,0.1782,-0.0492,0.0357,1,0
201808,49051,"Wasatch, UT",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,4150.00000,0.1210,,215.66265060240900,-0.0008,,3.0,,,1.0000,,,3.00,-100.00,-0.9709,,,12.0,,,0.0,,,0.0,,,2.0,1.0000,,5.0,4.0000,,0.6667,,,,,,,0,0
201808,38015,"Burleigh, ND",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,4983.00000,0.0000,0.0000,180.59401966686700,0.0000,-0.1001,1.0,0.0000,0.0000,0.0000,,,201.50,31.50,0.1853,143.00,2.4444,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0714,-0.5588,0.0714,-0.5588,0,0
201808,12131,"Walton, FL",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,1946.75000,0.0638,0.1388,436.61202185792300,0.0000,-0.0940,40.0,-0.0698,-0.1919,0.0999,0.0741,0.4150,150.75,9.25,0.0654,-1.00,-0.0066,6.0,-0.2500,0.5000,0.0,,-1.0000,6.0,,-0.2500,0.0,,,40.0,-0.0698,-0.1919,0.0000,0.0000,0.0000,-0.1814,-0.0120,-0.1196,0.2656,0,0
201808,12081,"Manatee, FL",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,2257.00000,0.0194,-0.1884,367.34565765346550,-0.0231,0.1009,19.0,0.1875,1.0000,0.1842,0.4747,0.7509,128.00,6.50,0.0535,-34.50,-0.2123,2.0,-0.5000,,0.0,,,2.0,,,2.5,0.2500,-0.5000,21.5,0.1944,0.4828,0.1316,0.0066,-0.3947,-0.1739,0.7228,-0.2614,-0.1447,1,0
201808,09007,"Middlesex, CT",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,2500.00000,-0.0412,-0.0456,369.60000000000000,0.0406,0.0631,3.0,0.5000,0.5000,0.0000,,,106.50,22.50,0.2679,-92.00,-0.4635,0.0,,,0.0,,,0.0,,,0.0,,,3.0,0.5000,0.5000,0.0000,0.0000,0.0000,-0.3246,-0.7260,-0.3421,-0.8214,0,0
201808,42095,"Northampton, PA",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,4010.00000,0.0000,-0.0166,189.50124688279300,-0.0232,-0.0314,1.0,0.0000,-0.5000,0.0000,,-1.0000,182.50,31.50,0.2086,142.00,3.5062,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,-0.5000,0.0000,0.0000,0.0000,-0.1111,-0.7241,-0.1111,-0.5676,0,0
201808,35055,"Taos, NM",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,1405.00000,0.0000,,604.98220640569300,0.0000,,1.0,0.0000,,0.5000,-0.5000,,29.50,21.00,2.4706,,,0.0,-1.0000,,0.0,,,0.0,,,0.0,,,1.0,0.0000,,0.0000,0.0000,,-0.5429,,-0.5429,,0,0
201808,06057,"Nevada, CA",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,1720.50000,0.1890,-0.1099,510.89874423517650,-0.1422,0.0626,12.0,0.0000,0.2000,0.2083,-0.1668,-0.1668,139.50,30.50,0.2798,73.25,1.1057,0.0,,-1.0000,0.0,,,0.0,-1.0000,,3.0,0.5000,,15.0,0.0714,0.5000,0.2500,0.0833,0.2500,-0.1915,0.2298,-0.2000,0.0667,1,0
201808,45043,"Georgetown, SC",USA,Condo/Townhome/Row Home/Co-Op,price_750_1M,1601.00000,-0.0154,-0.1048,507.82591514348950,0.0487,0.0842,4.5,-0.2500,-0.6087,0.0000,,-1.0000,393.75,-166.25,-0.2969,5.75,0.0148,0.0,,,0.0,,,0.0,,,0.0,,,4.5,-0.2500,-0.6087,0.0000,0.0000,0.0000,-0.2931,-0.6156,-0.0357,0.0000,0,0
