Month,Countyfips,CountyName,Country,PropertyType,Size Tier,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201808,51750,"Radford city, VA",USA,Condo/Townhome/Row Home/Co-Op,sqft_750_1750,111200.000000,0.0114,,114.72527527484575,0.0083,,15.5,0.0333,,0.0645,-0.0330,,103.50,31.50,0.4375,,,0.0,,,0.0,,,0.0,,,0.0,,,15.5,0.0333,,0.0000,0.0000,,0.2878,,0.2500,,0,0
201808,08029,"Delta, CO",USA,Condo/Townhome/Row Home/Co-Op,sqft_750_1750,228050.000000,0.1603,1.1219,137.51971807350175,0.0389,0.4501,5.5,0.8333,0.2222,0.5454,0.6363,-0.2988,29.25,-2.75,-0.0859,13.75,0.8871,0.0,,-1.0000,0.0,,,2.0,,,0.0,,,5.5,0.8333,0.2222,0.0000,0.0000,0.0000,0.3490,-0.5006,-0.2551,-0.5549,0,0
201808,26065,"Ingham, MI",USA,Condo/Townhome/Row Home/Co-Op,sqft_750_1750,111875.000000,-0.0867,0.3062,87.92406734621025,-0.0898,0.1564,64.5,0.0574,0.1518,0.4495,-0.1432,0.0712,37.75,5.75,0.1797,-19.75,-0.3435,30.0,-0.1667,0.6667,0.0,,,12.0,0.5000,2.0000,18.0,0.2000,,82.5,0.0855,0.4732,0.2791,0.0332,0.2791,0.1744,0.5161,0.0398,0.3261,1,0
201808,56017,"Hot Springs, WY",USA,Condo/Townhome/Row Home/Co-Op,sqft_750_1750,128050.000000,0.0000,,124.51361867704200,0.0000,,1.0,0.0000,,0.0000,,,341.50,31.50,0.1016,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,,0.0000,0.0000,,0.0556,,0.0556,,0,0
201808,26121,"Muskegon, MI",USA,Condo/Townhome/Row Home/Co-Op,sqft_750_1750,226300.000000,-0.0244,0.0024,183.23309961860650,-0.0136,0.1319,24.5,-0.0577,-0.1695,0.1632,0.0618,-0.1245,226.50,32.50,0.1675,151.00,2.0000,6.0,0.5000,0.0000,0.0,,,0.0,,,0.0,,,24.5,-0.0577,-0.1695,0.0000,0.0000,0.0000,0.1455,0.0322,0.1892,0.2394,0,0
201808,51033,"Caroline, VA",USA,Condo/Townhome/Row Home/Co-Op,sqft_750_1750,170000.000000,-0.0933,0.0306,101.16071428571400,-0.2171,-0.1977,2.0,-0.3333,-0.5556,1.0000,0.4999,1.2502,10.00,-21.00,-0.6774,-27.00,-0.7297,0.0,,,0.0,,,0.0,,-1.0000,1.0,-0.5000,0.0000,3.0,-0.4000,-0.4545,0.5000,-0.1667,0.2778,-0.2633,-0.1467,0.9672,2.0380,1,0
201808,36083,"Rensselaer, NY",USA,Condo/Townhome/Row Home/Co-Op,sqft_750_1750,189050.000000,-0.0662,-0.0303,138.08812546676600,-0.0064,0.0090,25.0,0.3889,-0.3333,0.5000,0.7998,0.6307,38.75,-23.25,-0.3750,-27.50,-0.4151,12.0,2.0000,-0.3333,0.0,,,8.0,1.0000,0.0000,31.0,0.0000,0.0690,56.0,0.1429,-0.1579,1.2400,-0.4822,0.4667,0.0965,-0.2445,-0.1111,0.3176,1,0
201808,55029,"Door, WI",USA,Condo/Townhome/Row Home/Co-Op,sqft_750_1750,211950.000000,0.0600,0.1185,164.18876262626250,-0.0003,0.0530,111.5,-0.0785,-0.2517,0.0941,0.1392,-0.1231,161.75,13.75,0.0929,-34.25,-0.1747,12.0,0.0000,-0.3333,0.0,,-1.0000,10.0,-0.1667,-0.3750,0.0,,,111.5,-0.0785,-0.2517,0.0000,0.0000,0.0000,-0.0484,0.0659,0.0581,0.4444,0,0
201808,05143,"Washington, AR",USA,Condo/Townhome/Row Home/Co-Op,sqft_750_1750,238487.500000,0.4191,1.0379,170.04011034566675,0.2550,0.8711,22.5,-0.1000,-0.2969,0.2444,-0.5300,0.9552,41.25,16.25,0.6500,-132.75,-0.7629,4.0,-0.6667,0.0000,0.0,,,4.0,0.0000,1.0000,16.5,0.1000,0.3200,39.0,-0.0250,-0.1236,0.7333,0.1333,0.3427,-0.2275,0.1730,-0.1642,0.7231,1,0
201808,45051,"Horry, SC",USA,Condo/Townhome/Row Home/Co-Op,sqft_750_1750,174950.000000,0.0139,0.0799,145.05803596654300,0.0102,0.0312,2058.5,-0.0212,-0.0426,0.2103,0.1801,0.2128,92.50,-1.50,-0.0160,-15.50,-0.1435,448.0,0.1667,0.1979,18.0,0.5000,-0.2500,248.0,-0.0159,-0.1842,2.0,0.0000,-0.6000,2060.5,-0.0211,-0.0439,0.0010,0.0000,-0.0014,0.0532,0.2177,0.0741,0.2747,0,0
