Address,List_Price ,beds,baths,sq_ft
"3421 Oak Ave Brookfield, IL 60513","$239,900 ",3,1,1
"7200 Wilson Ter Morton Grove, IL 60053",N/A,3,1,"1,092"
"11524 S Carpenter St Chicago, IL 60643",N/A,3,2,"1,129"
"616 S Cedar St Palatine, IL 60067","$349,900 ",3,1,"1,818"
"3807 Wisconsin Ave Berwyn, IL 60402","$178,900 ",4,2,"1,587"
"8044 S Dante Ave Chicago, IL 60619","$46,000 ",3,2,"2,058"
"6553 S Bell Ave Chicago, IL 60636","$60,000 ",3,1,984
"5932 S Emerald Ave Chicago, IL 60621",N/A,6,2,2
"12143 S Lowe Ave Chicago, IL 60628","$27,000 ",5,1,"1,370"
"700 S Park Blvd Streamwood, IL 60107","$214,900 ",3,1,"1,300"
"18327 Grant St Lansing, IL 60438","$124,900 ",3,1,"1,400"
"14046 S Grace Ave Robbins, IL 60472","$16,900 ",2,1,937
"160 E Illinois St Apt 1001 Chicago, IL 60611","$624,900 ",2,2,"1,390"
"5000 S East End Ave Apt 8C Chicago, IL 60615","$295,000 ",3,3,"2,400"
"5400 W Augusta Blvd Chicago, IL 60651","$249,999 ",9,,
"711 S River Rd Apt 711 Des Plaines, IL 60016","$199,900 ",2,2,"1,344"
"10116 S Artesian Ave Chicago, IL 60655","$274,000 ",3,1.5,"1,394"
"185 Grove Ct Lemont, IL 60439","$359,000 ",3,2.5,"1,966"
"15459 Laramie Ave Oak Forest, IL 60452","$239,900 ",3,2.5,"1,064"
"630 N State St Apt 2103 Chicago, IL 60654","$340,000 ",1,1.5,900
"44 King Dr Streamwood, IL 60107","$165,000 ",2,1.5,"1,326"
"636 N Carlyle Ln Arlington Heights, IL 60004","$515,000 ",3,2,"2,220"
"855 Park Ln Hoffman Estates, IL 60192","$369,400 ",4,2.5,"2,391"
"708 S Merle Ln Wheeling, IL 60090","$225,000 ",3,1,"1,240"
"240 E Illinois St Apt 3102 Chicago, IL 60611","$525,000 ",1,1.5,"1,025"
"627 Belleforte Ave Oak Park, IL 60302","$545,000 ",3,3.5,"2,229"
"4537 W 102nd St Oak Lawn, IL 60453","$235,900 ",3,1.5,"1,506"
"230 W Division St Apt 1407 Chicago, IL 60610","$339,000 ",1,1.5,1.5
"1720 N California Ave Chicago, IL 60647",N/A,,,
"220 Elm St Glenview, IL 60025","$349,000 ",2,1,1
"144 S Middleton Ave Palatine, IL 60067","$299,990 ",,1,1
"6214 S Monitor Ave Chicago, IL 60638","$269,000 ",4,3,"1,104"
"2952 Ridge Rd Lansing, IL 60438","$149,000 ",3,2,780
"17212 Oak Park Ave Unit 2SW Tinley Park, IL 60477","$177,500 ",2,2,"1,200"
"5214 Greenleaf St Skokie, IL 60077","$419,900 ",3,2,"1,381"
"1056 W 111th Pl Chicago, IL 60643","$164,900 ",4,2,"1,056"
