,List_Price ,List_Price .1,beds,baths,sq_ft
0,"950 N Michigan Ave # 39B Chicago, IL 60611",941000.0,2.0,2.5,465900.0
1,"100 E Huron St Apt 1901 Chicago, IL 60611",370000.0,1.0,1.5,376500.0
2,"3150 N Sheridan Rd Apt 17D Chicago, IL 60657",235000.0,1.0,1.0,335900.0
3,"411 W Ontario St Apt 101 Chicago, IL 60654",353000.0,1.0,1.5,249900.0
4,"680 N Lake Shore Dr Apt 222 Chicago, IL 60611",397000.0,2.0,1.5,211800.0
5,"1660 N La Salle Dr Apt 3307 Chicago, IL 60614",296000.0,1.0,1.0,66600.0
6,"711 S Dearborn St Unit 706 Chicago, IL 60605",350000.0,2.0,1.0,43400.0
7,"3201 N Ravenswood Ave Apt 210 Chicago, IL 60657",400000.0,2.0,1.5,36300.0
8,"3201 N Ravenswood Ave Apt 206 Chicago, IL 60657",390000.0,2.0,1.5,36300.0
9,"3201 N Ravenswood Ave Apt 305 Chicago, IL 60657",415000.0,2.0,1.5,36300.0
10,"1749 N Wells St Apt 801 Chicago, IL 60614",488500.0,2.0,2.0,35900.0
11,"1749 N Wells St Apt 1409 Chicago, IL 60614",300500.0,1.0,1.0,35900.0
12,"1749 N Wells St Apt 2207 Chicago, IL 60614",323500.0,1.0,1.0,35900.0
13,"1749 N Wells St Apt 1501 Chicago, IL 60614",289500.0,1.0,1.0,35900.0
14,"3201 N Seminary Ave Apt 206 Chicago, IL 60657",255000.0,1.0,1.0,33700.0
15,"4343 N Clarendon Ave Apt 902 Chicago, IL 60613",250000.0,2.0,2.0,31600.0
16,"4343 N Clarendon Ave Apt 2710 Chicago, IL 60613",132000.0,1.0,1.0,31600.0
17,"345 N Canal St Apt 1001 Chicago, IL 60606",332000.0,1.0,1.0,31400.0
18,"2000 W Haddon Ave Apt 201 Chicago, IL 60622",310000.0,1.0,1.0,23600.0
19,"11024 Kilpatrick Ave Apt 5 Oak Lawn, IL 60453",72000.0,2.0,1.0,12000.0
20,"2753 N Wayne Ave Apt D Chicago, IL 60614",470000.0,2.0,2.5,10800.0
21,"910 N Lake Shore Dr Apt 1720 Chicago, IL 60611",459500.0,2.0,2.0,10400.0
22,"110 E Delaware Pl Apt 602 Chicago, IL 60611",277500.0,1.0,1.5,7200.0
23,"110 E Delaware Pl Apt 1402 Chicago, IL 60611",272000.0,1.0,1.5,7200.0
24,"6451 S Sangamon St Chicago, IL 60621",71500.0,9.0,3.0,6156.0
25,"1920 N Sheffield Ave Apt B Chicago, IL 60614",845000.0,2.0,2.5,5700.0
26,"2659 N Dayton St Chicago, IL 60614",905000.0,6.0,4.5,5400.0
27,"4261 Ford City Chicago, IL 60652",34000.0,1.0,1.0,5300.0
