Month,CountyFIPS,CountyName,Property Type,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
201808,06037,"Los Angeles, CA",Condo/Townhome/Row Home/Co-Op,1,,581000.000000,-0.0069,0.0870,3763.0,0.0523,0.0329,36.00,0.0588,-0.0400,1816.0,0.0089,0.0365,60.0,-0.2105,-0.2683,874.0,0.4006,0.5174,1109.0,0.6333,0.8483,916660.0000,0.0051,0.2006,4872.0,0.1450,0.1482,0.2947,0.1048,0.1300
201808,17031,"Cook, IL",Condo/Townhome/Row Home/Co-Op,2,,275050.000000,-0.0108,0.0377,11174.0,-0.0104,0.0476,44.50,0.0349,-0.0220,4090.0,-0.0738,0.0094,54.0,0.1250,0.1739,2404.0,0.0017,0.1796,1272.0,-0.1036,-0.1689,422458.0000,-0.0119,-0.0003,12446.0,-0.0208,0.0205,0.1138,-0.0118,-0.0297
201808,48201,"Harris, TX",Condo/Townhome/Row Home/Co-Op,3,,288050.000000,-0.0058,0.0397,2380.0,0.0154,-0.0807,58.25,0.0043,0.0219,864.0,0.0640,0.0237,28.0,0.0000,0.0000,640.0,0.0458,-0.0533,716.5,0.0049,-0.0408,390563.0000,0.0023,0.0251,3096.5,0.0129,-0.0718,0.3011,-0.0031,0.0125
201808,04013,"Maricopa, AZ",Condo/Townhome/Row Home/Co-Op,4,,236275.000000,0.0052,0.0490,2515.0,-0.0556,-0.0609,45.00,0.0227,-0.1089,1070.0,0.0531,0.0000,72.0,-0.0526,0.1613,768.0,0.0052,0.1429,0.0,-1.0000,,322796.0000,0.0096,0.0418,2515.0,-0.0559,-0.0609,0.0000,-0.0004,0.0000
201808,06073,"San Diego, CA",Condo/Townhome/Row Home/Co-Op,5,,479050.000000,-0.0017,0.0668,2276.5,0.1008,0.4445,31.00,0.0333,-0.0606,1414.0,-0.0014,0.1744,66.0,-0.1750,-0.0571,996.0,0.2327,1.0000,31.0,4.1667,2.2632,673431.0000,-0.0249,0.0362,2307.5,0.1126,0.4554,0.0136,0.0107,0.0076
201808,06059,"Orange, CA",Condo/Townhome/Row Home/Co-Op,6,*,552550.000000,-0.0124,0.0524,2610.5,0.0699,0.2131,38.00,0.0857,0.1343,1144.0,0.0554,0.0875,50.0,-0.0385,0.0870,830.0,0.0641,0.8122,462.5,45.2500,47.6842,681133.0000,-0.0201,0.0516,3073.0,0.2543,0.4217,0.1772,0.1731,0.1728
201808,36047,"Kings, NY",Condo/Townhome/Row Home/Co-Op,7,,882550.000000,-0.0661,-0.0826,2379.0,-0.0660,0.5245,79.25,0.0856,0.0359,468.0,-0.1269,0.1250,14.0,-0.4167,-0.4615,252.0,-0.3571,1.1724,1212.5,-0.0300,0.4215,1402305.0000,-0.0125,-0.0183,3591.5,-0.0541,0.4881,0.5097,0.0189,-0.0370
201808,12086,"Miami-Dade, FL",Condo/Townhome/Row Home/Co-Op,8,,420050.000000,0.0000,0.0244,14865.5,-0.0059,0.0182,127.00,0.0242,0.0367,2420.0,0.0746,0.0351,228.0,0.4250,0.2955,1880.0,-0.0229,0.0262,2571.0,-0.0396,0.0760,872123.0000,-0.0077,0.0165,17436.5,-0.0110,0.0263,0.1730,-0.0061,0.0093
201808,48113,"Dallas, TX",Condo/Townhome/Row Home/Co-Op,9,,319550.000000,-0.0287,-0.0651,1152.0,0.0473,0.0706,46.50,0.1923,0.0220,482.0,-0.0123,-0.0871,28.0,0.1667,2.5000,332.0,-0.0235,0.1857,337.0,-0.0792,-0.1522,424941.0000,-0.0338,-0.1273,1489.0,0.0157,0.0105,0.2925,-0.0402,-0.0769
201808,53033,"King, WA",Condo/Townhome/Row Home/Co-Op,10,*,446550.000000,-0.0165,0.1828,913.5,0.2148,0.9880,27.00,0.0800,0.3171,680.0,0.1333,0.2274,8.0,-0.6000,-0.5556,378.0,0.3696,1.9531,445.0,-0.1491,12.6923,642918.0000,-0.0769,0.0565,1358.5,0.0655,1.7612,0.4871,-0.2083,0.4164
201808,36081,"Queens, NY",Condo/Townhome/Row Home/Co-Op,11,,459050.000000,0.0000,0.2240,2271.0,0.0120,0.3177,63.50,0.0948,0.0325,586.0,-0.0487,0.1959,40.0,0.1111,0.0526,294.0,-0.1145,0.5978,314.5,-0.0172,0.3270,592602.0000,-0.0026,0.1438,2585.5,0.0084,0.3188,0.1385,-0.0041,0.0010
