Month,Countyfips,CountyName,Country,PropertyType,NoOfBdrs,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201808,08103,"Rio Blanco, CO",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,50050.000000,-0.4112,,1130.00000,-0.0560,,44.57681410159900,-0.3641,,2.0,0.0000,,0.5000,,,49.00,-75.00,-0.6048,,,0.0,,,0.0,,,0.0,,,1.0,,,3.0,0.5000,,0.5000,0.5000,,0.4907,,0.4286,,0,0
201808,08085,"Montrose, CO",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,259950.000000,0.1556,0.5423,1452.00000,0.0000,0.3011,186.72448298865900,0.0677,0.2367,3.0,-0.4000,0.0000,0.1666,-0.5835,-0.5002,41.50,8.00,0.2388,-25.50,-0.3806,0.0,,,0.0,,,0.0,,,0.0,,,3.0,-0.4000,0.0000,0.0000,0.0000,0.0000,-0.6908,-0.5622,-0.5263,-0.7065,0,0
201808,40041,"Delaware, OK",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,299050.000000,0.0240,-0.0017,2036.50000,0.0082,0.0618,149.34664787974750,0.0577,-0.0372,34.5,-0.0143,-0.1585,0.2028,0.0140,1.0800,90.75,8.75,0.1067,8.50,0.1033,4.0,0.0000,1.0000,0.0,,,2.0,-0.5000,-0.6667,0.5,-0.5000,,35.0,-0.0278,-0.1463,0.0145,-0.0141,0.0145,-0.0358,0.5762,-0.0185,0.5143,0,0
201808,04025,"Yavapai, AZ",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,367450.000000,-0.1027,0.1682,1945.00000,-0.1309,0.1564,193.28044778205100,0.0146,0.1235,39.0,0.1471,0.2581,0.2051,0.3942,-0.2933,89.50,20.50,0.2971,40.50,0.8265,6.0,0.5000,-0.4000,0.0,,,12.0,2.0000,0.5000,2.5,-0.1667,-0.4444,41.5,0.1216,0.1690,0.0641,-0.0241,-0.0811,0.3313,0.2027,0.1263,-0.0776,0,0
201808,33015,"Rockingham, NH",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,407000.000000,0.0176,-0.1151,1988.00000,-0.0236,-0.0549,195.34462186447075,0.0039,-0.0790,107.5,-0.0138,-0.2037,0.2930,-0.1595,-0.3721,57.00,13.00,0.2955,20.50,0.5616,22.0,-0.4500,-0.5000,0.0,,,20.0,0.0000,-0.4118,0.0,,,107.5,-0.0138,-0.2037,0.0000,0.0000,0.0000,-0.1115,-0.1906,-0.1485,-0.0227,0,0
201808,16081,"Teton, ID",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,298050.000000,-0.0033,0.0797,1888.25000,-0.0062,0.0122,172.83519553072575,0.0260,0.1553,24.0,0.3333,1.0000,0.3958,0.7812,0.5832,46.50,-20.50,-0.3060,-43.50,-0.4833,2.0,-0.5000,-0.6667,0.0,,,2.0,,0.0000,0.0,,-1.0000,24.0,0.3333,0.2632,0.0000,0.0000,-0.5833,0.6057,1.3053,0.2200,0.2200,1,0
201808,17111,"McHenry, IL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,199950.000000,0.0521,0.0893,1742.75000,0.0224,0.0197,117.60518639190175,0.0367,0.0903,133.0,-0.0567,-0.0952,0.3458,0.0600,0.1553,50.50,6.50,0.1477,-2.50,-0.0472,40.0,-0.1667,0.1765,0.0,,,26.0,-0.0714,-0.1333,10.0,0.1111,-0.1304,143.0,-0.0467,-0.0978,0.0752,0.0114,-0.0030,-0.1337,-0.2409,-0.0984,-0.2517,0,0
201808,08119,"Teller, CO",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,259050.000000,0.3999,0.0364,1316.00000,-0.0324,-0.2721,196.80851063829700,0.4468,0.4460,1.0,0.0000,-0.6000,1.0000,0.0000,1.5006,9.00,-7.00,-0.4375,-49.00,-0.8448,0.0,,-1.0000,0.0,,,0.0,,,1.0,0.0000,-0.7500,2.0,0.0000,-0.6923,1.0000,0.0000,-0.6000,-0.3030,-0.6063,-0.1635,0.1579,1,0
201808,37165,"Scotland, NC",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,117550.000000,0.0217,0.0784,1775.00000,0.0758,0.2075,68.72009569377925,-0.0141,-0.0283,3.5,0.7500,2.5000,0.4285,,,106.50,10.50,0.1094,13.00,0.1390,4.0,,,0.0,,,0.0,,,0.0,,-1.0000,3.5,0.7500,0.7500,0.0000,0.0000,-1.0000,0.2841,2.0541,-0.1190,0.0000,1,0
201808,53009,"Clallam, WA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,360050.000000,-0.1910,0.2754,1696.75000,-0.1177,0.0905,196.74443610049150,0.0900,0.1867,9.0,0.5000,0.0000,0.6111,2.6658,0.8334,24.00,-42.50,-0.6391,-22.25,-0.4811,6.0,0.5000,0.5000,0.0,,,2.0,,0.0000,9.5,-0.0500,,18.5,0.1563,1.0556,1.0556,-0.6111,1.0556,0.9635,0.0153,0.3169,0.2467,1,0
