Month,Countyfips,CountyName,Country,PropertyType,Price Tier,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201808,08107,"Routt, CO",USA,Condo/Townhome/Row Home/Co-Op,price_1Mplus,3510.25000,0.0700,-0.0694,448.31180981471225,-0.0532,-0.0022,35.5,0.0758,0.3922,0.1831,0.5107,0.8683,159.75,-38.25,-0.1932,-16.75,-0.0949,8.0,1.0000,,0.0,,,2.0,,-0.5000,0.0,,,35.5,0.0758,0.3922,0.0000,0.0000,0.0000,0.2893,0.5235,0.1765,0.1111,0,0
201808,51810,"Virginia Beach city, VA",USA,Condo/Townhome/Row Home/Co-Op,price_1Mplus,3053.00000,0.0506,0.0319,458.77256825816575,-0.0032,0.1116,17.5,-0.2045,0.2500,0.0857,-0.7644,-0.5199,76.00,14.00,0.2258,-5.25,-0.0646,0.0,-1.0000,-1.0000,0.0,,,0.0,,,0.0,,,17.5,-0.2045,0.2500,0.0000,0.0000,0.0000,-0.4905,-0.0282,-0.3800,-0.2250,0,0
201808,13089,"DeKalb, GA",USA,Condo/Townhome/Row Home/Co-Op,price_1Mplus,4156.75000,0.0011,0.2990,287.46104051786100,-0.0013,-0.1522,5.0,0.6667,-0.5238,0.4000,,,97.25,25.25,0.3507,-8.25,-0.0782,0.0,,,0.0,,,2.0,,,673.0,-0.0868,0.5967,678.0,-0.0838,0.5694,134.6000,-111.0667,94.4571,1.5270,1.0894,0.6757,3.5926,1,1
201808,17043,"DuPage, IL",USA,Condo/Townhome/Row Home/Co-Op,price_1Mplus,4090.00000,0.0149,0.0749,317.53475440222400,-0.0827,0.0281,4.5,0.1250,0.1250,0.2222,-0.1112,,128.50,-243.50,-0.6546,-106.50,-0.4532,0.0,,,0.0,,,0.0,,,75.0,0.0274,-0.0066,79.5,0.0325,0.0000,16.6667,-1.5833,-2.2083,0.8941,1.6766,0.7069,1.4750,1,0
201808,34021,"Mercer, NJ",USA,Condo/Townhome/Row Home/Co-Op,price_1Mplus,2036.00000,0.0000,0.0755,540.27504911591300,0.0000,-0.2419,7.0,0.0000,0.0000,0.0000,,-1.0000,334.50,38.50,0.1301,167.00,0.9970,0.0,,,0.0,,,0.0,,,0.0,,-1.0000,7.0,0.0000,-0.9630,0.0000,0.0000,-26.0000,0.0162,-0.2084,0.0192,-0.2090,1,0
201808,42027,"Centre, PA",USA,Condo/Townhome/Row Home/Co-Op,price_1Mplus,2667.50000,0.0000,,583.19519970659350,0.0000,,2.0,0.0000,,0.0000,,,273.50,31.50,0.1302,,,0.0,,,0.0,,,0.0,,,59.5,-0.1959,,61.5,-0.1908,,29.7500,-7.2500,,0.3333,,0.4405,,0,0
201808,34035,"Somerset, NJ",USA,Condo/Townhome/Row Home/Co-Op,price_1Mplus,,,,,,,3.0,0.0000,0.0000,0.0000,-1.0000,,56.50,31.50,1.2600,-279.00,-0.8316,0.0,,,0.0,,,0.0,,,0.0,,-1.0000,3.0,0.0000,-0.7500,0.0000,0.0000,-3.0000,0.1023,0.3472,0.1429,-0.0857,1,1
201808,39035,"Cuyahoga, OH",USA,Condo/Townhome/Row Home/Co-Op,price_1Mplus,3880.00000,0.0695,-0.2538,366.27101022353100,0.0641,0.4147,7.0,-0.2222,0.5556,0.0000,-1.0000,-1.0000,98.50,41.50,0.7281,44.00,0.8073,0.0,,,0.0,,,0.0,,,168.0,-0.1111,-0.1494,175.0,-0.1162,-0.1337,24.0000,3.0000,-19.8889,-0.0360,0.1039,0.1703,-0.2993,1,0
201808,48085,"Collin, TX",USA,Condo/Townhome/Row Home/Co-Op,price_1Mplus,5432.00000,0.0000,0.4487,239.13843888070600,0.0000,-0.4413,1.0,0.0000,-0.5000,0.0000,,,866.50,31.50,0.0377,446.50,1.0631,0.0,,,0.0,,,0.0,,,45.5,-0.1078,-0.2155,46.5,-0.1058,-0.2250,45.5000,-5.5000,16.5000,0.1545,-0.6080,0.1545,-0.2112,1,0
201808,06087,"Santa Cruz, CA",USA,Condo/Townhome/Row Home/Co-Op,price_1Mplus,1575.00000,0.1789,-0.0320,825.39682539682500,-0.1482,0.0472,6.0,0.5000,-0.2000,0.4166,0.6664,5.2552,43.50,-9.00,-0.1714,-102.00,-0.7010,2.0,-0.5000,,0.0,,,0.0,,-1.0000,38.0,-0.1556,-0.3028,44.0,-0.1020,-0.2903,6.3333,-4.9167,-0.9333,0.4636,0.3314,0.0291,0.5259,1,0
