Month,Countyfips,CountyName,Country,PropertyType,Price Tier,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201808,53031,"Jefferson, WA",USA,Condo/Townhome/Row Home/Co-Op,price_200_350k,1302.50000,-0.0316,0.0198,225.48250751132975,-0.0351,0.2035,4.5,0.1250,-0.4000,0.4444,-0.1112,2.3338,32.25,-6.75,-0.1731,-83.50,-0.7214,2.0,-0.5000,,0.0,,,4.0,0.0000,1.0000,2.0,1.0000,,6.5,0.3000,-0.1333,0.4444,0.1944,0.4444,-0.0843,-0.1517,0.0746,0.6443,1,0
201808,54093,"Tucker, WV",USA,Condo/Townhome/Row Home/Co-Op,price_200_350k,2110.50000,0.0000,0.1193,112.03343088698750,-0.0293,-0.1548,2.0,0.0000,0.0000,0.0000,,,371.50,31.50,0.0926,-143.50,-0.2786,0.0,,,0.0,,,0.0,,,0.0,,,2.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0921,0.2576,0.0789,0.2424,0,0
201808,39167,"Washington, OH",USA,Condo/Townhome/Row Home/Co-Op,price_200_350k,1560.00000,-0.0358,-0.1362,152.37420269312500,-0.0196,-0.0287,3.0,0.5000,-0.2500,0.0000,,,340.50,-13.00,-0.0368,237.00,2.2899,0.0,,,0.0,,,0.0,,,0.0,,,3.0,0.5000,-0.2500,0.0000,0.0000,0.0000,0.7252,0.6509,0.1545,1.0159,0,0
201808,42131,"Wyoming, PA",USA,Condo/Townhome/Row Home/Co-Op,price_200_350k,1300.00000,0.0000,-0.4489,180.00000000000000,0.0000,0.7598,1.0,0.0000,-0.6667,0.0000,,,1668.50,31.50,0.0192,1469.25,7.3739,0.0,,,0.0,,,0.0,,,0.0,,-1.0000,1.0,0.0000,-0.7500,0.0000,0.0000,-0.3333,,-1.0000,,-1.0000,1,0
201808,37063,"Durham, NC",USA,Condo/Townhome/Row Home/Co-Op,price_200_350k,1847.50000,-0.0183,0.0868,146.62394192530650,0.0195,-0.0030,86.5,0.1234,0.2098,0.4682,0.2432,0.2173,34.50,-10.50,-0.2333,-7.00,-0.1687,48.0,0.5000,0.0000,2.0,-0.8333,-0.8750,22.0,0.1000,0.1000,0.0,,,86.5,0.1234,0.2098,0.0000,0.0000,0.0000,0.1307,0.1220,0.0106,-0.0500,0,0
201808,45015,"Berkeley, SC",USA,Condo/Townhome/Row Home/Co-Op,price_200_350k,1440.00000,0.0880,0.1128,189.69492784564450,-0.0005,-0.0440,34.5,0.1897,-0.2959,0.4347,0.2607,0.8529,48.25,5.25,0.1221,-12.25,-0.2025,10.0,-0.1667,-0.2857,2.0,,,8.0,0.0000,0.0000,0.0,,,34.5,0.1897,-0.2959,0.0000,0.0000,0.0000,0.1328,-0.0030,-0.0878,0.3918,0,0
201808,17195,"Whiteside, IL",USA,Condo/Townhome/Row Home/Co-Op,price_200_350k,1596.50000,0.0000,-0.1969,147.77522098982650,0.0000,0.1760,2.0,0.0000,-0.3333,0.0000,-1.0000,,102.50,31.50,0.4437,-297.00,-0.7434,0.0,,,0.0,,,0.0,,,0.0,,,2.0,0.0000,-0.3333,0.0000,0.0000,0.0000,-0.2639,-0.1846,-0.2778,-0.0189,0,0
201808,18063,"Hendricks, IN",USA,Condo/Townhome/Row Home/Co-Op,price_200_350k,1625.25000,-0.3503,-0.0387,132.15859030837000,0.3275,-0.1631,2.5,-0.3750,-0.7059,0.3999,-0.2002,5.8010,46.00,-4.00,-0.0800,-33.00,-0.4177,2.0,,0.0000,0.0,,,0.0,-1.0000,,2.0,0.0000,,4.5,-0.2500,-0.4706,0.8000,0.3000,0.8000,0.0452,-0.2457,0.7907,1.7500,1,0
201808,26091,"Lenawee, MI",USA,Condo/Townhome/Row Home/Co-Op,price_200_350k,1470.00000,0.0000,0.0381,156.39455782312900,-0.0070,-0.1948,5.0,0.0000,-0.4118,0.0000,-1.0000,,136.50,53.50,0.6446,75.00,1.2195,0.0,,,0.0,,,0.0,,,0.0,,,5.0,0.0000,-0.4118,0.0000,0.0000,0.0000,-0.2691,0.9439,-0.2667,2.3333,0,0
201808,36063,"Niagara, NY",USA,Condo/Townhome/Row Home/Co-Op,price_200_350k,1480.50000,-0.1140,-0.0872,152.79877265623025,0.0361,0.0310,3.0,-0.5000,-0.7273,0.0000,-1.0000,-1.0000,118.50,31.50,0.3621,-30.00,-0.2020,0.0,,,0.0,,,0.0,,,0.0,,,3.0,-0.5000,-0.7273,0.0000,0.0000,0.0000,-0.5938,-0.4770,-0.1824,0.9206,0,0
