Month,Countyfips,CountyName,Country,PropertyType,Size Tier,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201808,08001,"Adams, CO",USA,Condo/Townhome/Row Home/Co-Op,sqft_0_750,135050.000000,0.0384,0.0075,204.85584218512800,0.0384,-0.0596,4.5,-0.1000,0.0000,0.8888,0.1110,3.0000,20.00,9.00,0.8182,-22.25,-0.5266,4.0,0.0000,1.0000,0.0,,,2.0,,0.0000,0.0,,,4.5,-0.1000,0.0000,0.0000,0.0000,0.0000,0.7306,0.8683,0.2742,0.7556,0,0
201808,36067,"Onondaga, NY",USA,Condo/Townhome/Row Home/Co-Op,sqft_0_750,70300.000000,-0.0935,0.0036,98.37501600870825,-0.0887,-0.0219,0.5,-0.5000,-0.8000,0.0000,-1.0000,-1.0000,25.75,-4.25,-0.1417,-57.50,-0.6907,0.0,,,0.0,,,0.0,,,0.0,,,0.5,-0.5000,-0.8000,0.0000,0.0000,0.0000,-0.1825,-0.2590,0.1746,2.1489,0,0
201808,37133,"Onslow, NC",USA,Condo/Townhome/Row Home/Co-Op,sqft_0_750,109950.000000,0.0000,0.0417,215.36535111230200,-0.0575,0.1807,15.0,0.2500,-0.1176,0.2333,-0.4402,0.3218,53.50,17.00,0.4658,-129.00,-0.7068,0.0,-1.0000,,0.0,,,2.0,,,3.0,-0.4000,-0.7500,18.0,0.0588,-0.3793,0.2000,-0.2167,-0.5059,0.0733,0.0027,-0.1261,0.1758,1,0
201808,24041,"Talbot, MD",USA,Condo/Townhome/Row Home/Co-Op,sqft_0_750,179050.000000,0.0000,-0.1005,248.26629680998600,0.0000,-0.1006,1.0,0.0000,0.0000,0.0000,-1.0000,,43.50,28.00,1.8065,-43.00,-0.4971,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1704,1.0556,-0.1704,1.0556,0,0
201808,25027,"Worcester, MA",USA,Condo/Townhome/Row Home/Co-Op,sqft_0_750,106275.000000,0.0633,-0.0334,156.56699889257975,-0.0329,-0.0541,15.0,-0.0625,-0.2308,0.6666,0.1850,0.7332,22.00,-2.50,-0.1020,-16.75,-0.4323,10.0,-0.1667,0.0000,0.0,,-1.0000,4.0,0.0000,1.0000,0.0,,,15.0,-0.0625,-0.2308,0.0000,0.0000,0.0000,0.0279,0.3554,-0.0741,0.6393,0,0
201808,47149,"Rutherford, TN",USA,Condo/Townhome/Row Home/Co-Op,sqft_0_750,49950.000000,0.0000,-0.4255,138.22714681440400,0.0000,-0.0138,0.5,-0.5000,-0.5000,1.0000,0.0000,0.0000,17.00,7.00,0.7000,1.50,0.0968,0.0,,,0.0,,,0.0,,,0.0,,,0.5,-0.5000,-0.5000,0.0000,0.0000,0.0000,-0.5045,0.2303,-0.0678,1.3933,0,0
201808,13089,"DeKalb, GA",USA,Condo/Townhome/Row Home/Co-Op,sqft_0_750,152400.000000,-0.0985,0.0157,232.76506483600300,-0.0657,0.1064,22.0,-0.0435,0.3333,0.2727,-0.5176,-0.5500,52.50,28.50,1.1875,24.75,0.8919,6.0,-0.6250,-0.5000,0.0,,,6.0,-0.2500,-0.4000,15.5,0.5500,0.2917,37.5,0.1364,0.3158,0.7045,0.2698,-0.0227,-0.1775,-0.0885,-0.1900,-0.3817,0,1
201808,48271,"Kinney, TX",USA,Condo/Townhome/Row Home/Co-Op,sqft_0_750,44425.000000,0.6125,,93.12616688209050,1.1435,,1.0,0.0000,,0.5000,-0.5000,,33.50,21.50,1.7917,,,2.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,,0.0000,0.0000,,-0.3148,,-0.3148,,0,0
201808,39099,"Mahoning, OH",USA,Condo/Townhome/Row Home/Co-Op,sqft_0_750,49050.000000,0.0000,0.3994,68.05555555555500,0.0000,0.3708,1.0,0.0000,0.0000,1.0000,0.0000,,21.50,17.50,4.3750,-57.00,-0.7261,0.0,-1.0000,,0.0,,,0.0,,,0.0,,,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,-0.4211,1.9333,-0.4211,1.9333,0,0
201808,12035,"Flagler, FL",USA,Condo/Townhome/Row Home/Co-Op,sqft_0_750,158800.000000,0.0242,-0.0016,234.51327433628300,0.0000,0.0000,21.0,-0.2500,-0.1429,0.0714,-0.7144,-0.4167,96.50,-13.50,-0.1227,28.00,0.4088,0.0,-1.0000,,0.0,,-1.0000,2.0,-0.7500,-0.5000,3.5,-0.1250,0.4000,24.5,-0.2344,-0.0926,0.1667,0.0238,0.0646,-0.3542,-0.0258,-0.1300,0.3182,0,0
