Month,Countyfips,CountyName,Country,PropertyType,Size Tier,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201808,53033,"King, WA",USA,Condo/Townhome/Row Home/Co-Op,sqft_6000plus,6500050.000000,0.0000,-0.5340,939.71374873500000,0.0000,-0.5691,2.0,0.0000,0.0000,0.0000,-1.0000,,56.00,21.00,0.6000,-210.50,-0.7899,0.0,,,0.0,,,0.0,,,0.0,,,2.0,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3333,-0.6190,-0.2685,-0.5820,0,0
201808,45019,"Charleston, SC",USA,Condo/Townhome/Row Home/Co-Op,sqft_6000plus,16500050.000000,0.0000,3.7142,1972.97620471122800,0.0000,3.2278,2.0,-0.3333,1.0000,0.0000,,,325.50,43.50,0.1543,214.00,1.9193,0.0,,,0.0,,,0.0,,,0.0,,,2.0,-0.3333,1.0000,0.0000,0.0000,0.0000,-0.2575,3.8834,0.3563,3.4601,0,0
201808,50017,"Orange, VT",USA,Condo/Townhome/Row Home/Co-Op,sqft_6000plus,195050.000000,0.0000,-0.0201,26.53061224489700,0.0000,0.0572,1.0,0.0000,0.0000,0.0000,,,253.50,31.50,0.1419,113.00,0.8043,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.4286,1.2222,0.4286,1.2222,0,0
201808,48485,"Wichita, TX",USA,Condo/Townhome/Row Home/Co-Op,sqft_6000plus,685050.000000,0.0000,,99.21784472769400,0.0000,,1.0,0.0000,,0.0000,,,681.50,31.50,0.0485,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,,0.0000,0.0000,,0.0000,,0.0000,,0,0
201808,55085,"Oneida, WI",USA,Condo/Townhome/Row Home/Co-Op,sqft_6000plus,1324050.000000,0.0000,,94.14877848701550,0.0000,,2.0,0.0000,,0.0000,,,188.50,31.50,0.2006,,,0.0,,,0.0,,,0.0,,,0.0,,,2.0,0.0000,,0.0000,0.0000,,0.1724,,0.1724,,0,0
201808,12033,"Escambia, FL",USA,Condo/Townhome/Row Home/Co-Op,sqft_6000plus,3495050.000000,0.0000,-0.2233,482.06896551724100,0.0000,-0.2234,2.0,0.0000,0.0000,0.0000,,,434.50,31.50,0.0782,364.00,5.1631,0.0,,,0.0,,,0.0,,,0.0,,,2.0,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0053,0.3123,-0.0053,0.3123,0,0
201808,51510,"Alexandria city, VA",USA,Condo/Townhome/Row Home/Co-Op,sqft_6000plus,3395050.000000,-0.0145,-0.1502,549.61973984245400,-0.0141,-0.1705,2.0,0.0000,1.0000,0.0000,,,258.00,31.50,0.1391,217.50,5.3704,0.0,,,0.0,,,0.0,,,0.0,,,2.0,0.0000,1.0000,0.0000,0.0000,0.0000,0.0942,0.1984,0.0870,-0.4048,0,0
201808,06037,"Los Angeles, CA",USA,Condo/Townhome/Row Home/Co-Op,sqft_6000plus,19500050.000000,0.0400,101.6048,2584.95145631067900,0.1300,611.4974,5.5,-0.0833,,0.1818,0.0905,,93.50,19.50,0.2635,,,0.0,,,0.0,,,0.0,,,1.0,,,6.5,0.0833,,0.1818,0.1818,,2.9040,,3.7162,,0,0
201808,15003,"Honolulu, HI",USA,Condo/Townhome/Row Home/Co-Op,sqft_6000plus,9477550.000000,0.0560,-0.7330,1057.14482327802475,-0.0322,-0.6736,2.0,1.0000,-0.5000,0.5000,,,109.00,-69.00,-0.3876,-233.00,-0.6813,2.0,,,0.0,,,0.0,,,0.0,,,2.0,1.0000,-0.5000,0.0000,0.0000,0.0000,3.2500,-0.5656,1.1196,-0.1295,0,0
201808,05031,"Craighead, AR",USA,Condo/Townhome/Row Home/Co-Op,sqft_6000plus,650050.000000,0.0000,0.0000,97.89156626506000,0.0000,0.0000,1.0,0.0000,0.0000,0.0000,,-1.0000,362.00,21.00,0.0616,350.00,29.1667,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,-0.5789,0.4167,-0.5526,0,0
