Address ,List_Price ,latitude,longitude
"668 Sibley Blvd Calumet City, IL 60409","$248,000 ",41.62299,-87.541717
"14046 S Grace Ave Robbins, IL 60472","$80,000 ",41.636226,-87.708251
"1512 W 72nd St Chicago, IL 60636","$190,000 ",41.763367,-87.662704
"244 Mantua St Park Forest, IL 60466","$205,000 ",41.476563,-87.695352
"5527 W 22nd Pl Cicero, IL 60804","$210,000 ",41.849839,-87.762975
"6547 S Saint Lawrence Ave Chicago, IL 60637","$210,000 ",41.77532,-87.610318
"324 W 117th St Chicago, IL 60628","$575,000 ",41.681838,-87.631006
"7311 S Peoria St Chicago, IL 60621","$907,000 ",41.761133,-87.646385
"6828 S Winchester Ave Chicago, IL 60636","$907,000 ",41.769373,-87.67279
"1244 W 115th St Chicago, IL 60643","$907,000 ",41.685189,-87.65366
"668 Sibley Blvd Calumet City, IL 60409","$907,000 ",41.62299,-87.541717
"14046 S Grace Ave Robbins, IL 60472","$907,000 ",41.636226,-87.708251
"1512 W 72nd St Chicago, IL 60636","$225,000 ",41.763367,-87.662704
"244 Mantua St Park Forest, IL 60466","$145,000 ",41.476563,-87.695352
"5527 W 22nd Pl Cicero, IL 60804","$117,000 ",41.849839,-87.762975
"6547 S Saint Lawrence Ave Chicago, IL 60637","$173,500 ",41.77532,-87.610318
"324 W 117th St Chicago, IL 60628","$160,000 ",41.681838,-87.631006
"7311 S Peoria St Chicago, IL 60621","$313,000 ",41.761133,-87.646385
"6828 S Winchester Ave Chicago, IL 60636","$150,000 ",41.769373,-87.67279
"1244 W 115th St Chicago, IL 60643","$350,000 ",41.685189,-87.65366
"5229 S Hermitage Ave Chicago, IL 60609","$58,000 ",41.798586,-87.668007
"3315 Clinton Ave Berwyn, IL 60402","$765,000 ",41.831632,-87.79607
"2107 Darrow Ave Evanston, IL 60201","$765,000 ",42.055987,-87.696991
"6553 S Bell Ave Chicago, IL 60636","$448,500 ",41.774103,-87.679429
"6 Minocqua Ct Park Forest, IL 60466","$278,500 ",41.478122,-87.692114
"9516 S 53rd Ave Oak Lawn, IL 60453","$180,000 ",41.719158,-87.753418
"1442 Kinross St Flossmoor, IL 60422","$160,000 ",41.535313,-87.708856
"1928 169th St Hazel Crest, IL 60429","$194,000 ",41.582903,-87.664514
"7916 W Metropole St Elmwood Park, IL 60707","$215,000 ",41.935321,-87.824684
"76 Forest Ln Elk Grove Village, IL 60007","$260,500 ",42.023202,-87.987438
"7135 Sholer Ave Bridgeview, IL 60455","$265,000 ",41.761202,-87.816905
"3357 Madison St Lansing, IL 60438","$205,000 ",41.567943,-87.5347
"700 W Milburn Ave Mount Prospect, IL 60056","$59,000 ",42.061784,-87.946747
"2451 W 79th St Chicago, IL 60652","$85,000 ",41.749946,-87.684892
"201 Patricia Ln Prospect Heights, IL 60070","$300,000 ",42.098303,-87.915517
"950 Washington Blvd Apt 302 Oak Park, IL 60302","$120,000 ",41.88176,-87.799526
"15960 Ozark Ave Tinley Park, IL 60477","$233,000 ",41.599929,-87.808502
"9345 S Pulaski Rd Evergreen Park, IL 60805","$694,000 ",41.72294,-87.721062
"107 S Euclid Ave # A Oak Park, IL 60302","$694,000 ",,
"9014 Laramie Ave Skokie, IL 60077","$694,000 ",42.045011,-87.757097
"1426 W Rascher Ave Chicago, IL 60640","$694,000 ",41.981056,-87.665972
"1529 S State St Apt 8-D Chicago, IL 60605","$694,000 ",41.861116,-87.626882
"910 N Lake Shore Dr Apt 1618 Chicago, IL 60611","$159,000 ",41.899685,-87.619667
"1511 S Indiana Ave Unit G Chicago, IL 60605","$282,000 ",41.861754,-87.621584
"8000 W Foster Ln Apt 402 Niles, IL 60714","$630,000 ",42.052843,-87.827412
"4025 Nelson Walk Oak Lawn, IL 60453","$212,500 ",41.714111,-87.722769
"5650 W Pensacola Ave Chicago, IL 60634","$150,000 ",41.959804,-87.769269
"1029 N Glenview Ct Palatine, IL 60067","$170,000 ",42.129717,-88.066493
"340 E Randolph St Unit 2406 Chicago, IL 60601","$515,000 ",41.884839,-87.618756
"600 S 6th Ave Maywood, IL 60153","$235,000 ",41.882414,-87.840562
"2915 Monroe St Bellwood, IL 60104","$248,000 ",41.877575,-87.869162
"121 Long Ave Schaumburg, IL 60193","$80,000 ",41.991131,-88.114828
"538 W Millers Rd Des Plaines, IL 60016","$190,000 ",42.042013,-87.934289
"5 E Stonegate Dr Prospect Heights, IL 60070","$205,000 ",42.113685,-87.937924
"6117 N Claremont Ave Apt Gn Chicago, IL 60659","$210,000 ",41.992816,-87.688149
"16422 Ozark Ave Tinley Park, IL 60477","$210,000 ",41.592421,-87.808153
"77 S Evergreen Ave Unit 802 Arlington Heights, IL 60005","$575,000 ",42.081984,-87.981109
"8300 W Carmen Ave Norridge, IL 60706","$907,000 ",41.972215,-87.834527
"1508 Wisconsin Ave Berwyn, IL 60402","$907,000 ",41.859268,-87.801759
"3236 Arthur Ave Brookfield, IL 60513","$907,000 ",41.8316,-87.853246
"1625 Glenview Rd Unit 211 Glenview, IL 60025","$907,000 ",42.071981,-87.798441
"646 W Drummond Pl Chicago, IL 60614","$907,000 ",41.930605,-87.645742
"3614 N California Ave Chicago, IL 60618","$225,000 ",41.946956,-87.698662
"5203 N Winthrop Ave # 2 Chicago, IL 60640","$145,000 ",,
"419 Hillview Ct Lemont, IL 60439","$117,000 ",41.666198,-87.994076
"5556 N Sheridan Rd Apt 203 Chicago, IL 60640","$173,500 ",41.98278,-87.65527
"2649 N Southport Ave Apt 1 Chicago, IL 60614","$160,000 ",41.930323,-87.663143
"552 W Fullerton Pkwy Chicago, IL 60614","$313,000 ",41.925779,-87.643558
"1912 W Wellington Ave Chicago, IL 60657","$150,000 ",41.936212,-87.676459
"3842 Harrison Ave Brookfield, IL 60513","$350,000 ",41.820345,-87.856452
"7662 W Peterson Ave Chicago, IL 60631","$58,000 ",41.98899,-87.819233
"8975 Dublin St # 9B Orland Park, IL 60462","$765,000 ",,
"10551 Rachel Ln Orland Park, IL 60467","$765,000 ",41.564852,-87.875326
"9403 Brockton Ln # B1 Des Plaines, IL 60016","$448,500 ",,
"9950 S Oakley Ave Chicago, IL 60643","$278,500 ",41.712179,-87.679729
"7714 S Yates Blvd Chicago, IL 60649","$180,000 ",41.754853,-87.566636
"1720 Maple Ave Apt 408 Evanston, IL 60201","$160,000 ",42.049394,-87.685331
"1138 Regency Dr Schaumburg, IL 60193","$194,000 ",42.003651,-88.107254
"5809 W Montrose Ave Chicago, IL 60634","$215,000 ",,
"1553 Bristol Ave Westchester, IL 60154","$260,500 ",41.856626,-87.868291
"7157 S Wolcott Ave Chicago, IL 60636","$265,000 ",41.76321,-87.670715
"310 Lathrop Ave Apt 500 Forest Park, IL 60130","$205,000 ",41.881125,-87.8141
"1150 N Lake Shore Dr Apt 24K Chicago, IL 60611","$59,000 ",41.903685,-87.625356
"2937 N Sheffield Ave Apt 2 Chicago, IL 60657","$85,000 ",41.93573,-87.653613
"1945 E Touhy Ave Des Plaines, IL 60018","$300,000 ",42.009373,-87.876027
"2150 Valencia Dr Apt 114A Northbrook, IL 60062","$120,000 ",42.108419,-87.832115
"1160 Valley Ln Apt 107 Hoffman Estates, IL 60169","$233,000 ",42.046281,-88.093298
"2425 W Superior St Chicago, IL 60612","$694,000 ",41.894554,-87.687849
"1610 Monroe St Apt 1E Evanston, IL 60202","$694,000 ",42.030517,-87.69547
"515 W Wellington Ave Chicago, IL 60657","$694,000 ",41.936246,-87.642548
"1907 W George St Chicago, IL 60657","$694,000 ",41.933869,-87.676108
"14 Moorings Dr Palos Heights, IL 60463","$694,000 ",41.676607,-87.802434
"1670 Whitcomb Ave Des Plaines, IL 60018","$159,000 ",42.029975,-87.882754
"2800 N Lake Shore Dr Apt 2701 Chicago, IL 60657","$282,000 ",41.933244,-87.637119
"455 W Oakdale Ave Apt 1 Chicago, IL 60657","$630,000 ",41.9353,-87.641525
"408 Sandy Ln Wilmette, IL 60091","$212,500 ",42.070393,-87.731034
"4009 N Galena Ave Arlington Heights, IL 60004","$150,000 ",42.150449,-88.006618
"216 Maplebrook Ct Unit V2 Schaumburg, IL 60194","$170,000 ",42.030601,-88.064076
"5931 W Warwick Ave Chicago, IL 60634","$515,000 ",41.948255,-87.77544
