Address,list_price,beds,baths,sq_ft,latitude,longitude
"950 N Michigan Ave # 39B Chicago, IL 60611",941000.0,2.0,2.5,465900.0,41.9003994,-87.6246803
"100 E Huron St Apt 1901 Chicago, IL 60611",370000.0,1.0,1.5,376500.0,41.8953549,-87.6249465
"3150 N Sheridan Rd Apt 17D Chicago, IL 60657",235000.0,1.0,1.0,335900.0,41.9392324,-87.63970499999999
"411 W Ontario St Apt 101 Chicago, IL 60654",353000.0,1.0,1.5,249900.0,41.8928504,-87.6397404
"680 N Lake Shore Dr Apt 222 Chicago, IL 60611",397000.0,2.0,1.5,211800.0,41.8946724,-87.6167162
"1660 N La Salle Dr Apt 3307 Chicago, IL 60614",296000.0,1.0,1.0,66600.0,41.9122525,-87.63395
"711 S Dearborn St Unit 706 Chicago, IL 60605",350000.0,2.0,1.0,43400.0,41.8729406,-87.6288696
"3201 N Ravenswood Ave Apt 210 Chicago, IL 60657",400000.0,2.0,1.5,36300.0,41.9399937,-87.6731451
"3201 N Ravenswood Ave Apt 206 Chicago, IL 60657",390000.0,2.0,1.5,36300.0,41.9399937,-87.6731451
"3201 N Ravenswood Ave Apt 305 Chicago, IL 60657",415000.0,2.0,1.5,36300.0,41.9399937,-87.6731451
"1749 N Wells St Apt 801 Chicago, IL 60614",488500.0,2.0,2.0,35900.0,41.9142116,-87.6339237
"1749 N Wells St Apt 1409 Chicago, IL 60614",300500.0,1.0,1.0,35900.0,41.9142116,-87.6339237
"1749 N Wells St Apt 2207 Chicago, IL 60614",323500.0,1.0,1.0,35900.0,41.9142116,-87.6339237
"1749 N Wells St Apt 1501 Chicago, IL 60614",289500.0,1.0,1.0,35900.0,41.9142116,-87.6339237
"3201 N Seminary Ave Apt 206 Chicago, IL 60657",255000.0,1.0,1.0,33700.0,41.9403227,-87.656216
"4343 N Clarendon Ave Apt 902 Chicago, IL 60613",250000.0,2.0,2.0,31600.0,41.96134079999999,-87.6493189
"4343 N Clarendon Ave Apt 2710 Chicago, IL 60613",132000.0,1.0,1.0,31600.0,41.96134079999999,-87.6493189
"345 N Canal St Apt 1001 Chicago, IL 60606",332000.0,1.0,1.0,31400.0,41.8881457,-87.6396118
