,latitude,longitude,Address,List_Price,beds,baths,sq_ft
0,41.62299,-87.541717,"668 Sibley Blvd Calumet City, IL 60409","$18,900 ",4.0,2.0,"1,152"
1,41.62299,-87.541717,"668 Sibley Blvd Calumet City, IL 60409","$18,900 ",4.0,2.0,"1,152"
2,41.636226,-87.708251,"14046 S Grace Ave Robbins, IL 60472","$16,900 ",2.0,1.0,937
3,41.636226,-87.708251,"14046 S Grace Ave Robbins, IL 60472","$16,900 ",2.0,1.0,937
4,41.636226,-87.708251,"14046 S Grace Ave Robbins, IL 60472","$16,900 ",2.0,1.0,937
5,41.636226,-87.708251,"14046 S Grace Ave Robbins, IL 60472","$16,900 ",2.0,1.0,937
6,41.763366999999995,-87.662704,"1512 W 72nd St Chicago, IL 60636","$8,900 ",3.0,2.0,"1,056"
7,41.763366999999995,-87.662704,"1512 W 72nd St Chicago, IL 60636","$8,900 ",3.0,2.0,"1,056"
8,41.476563,-87.695352,"244 Mantua St Park Forest, IL 60466","$42,900 ",3.0,1.0,"1,169"
9,41.476563,-87.695352,"244 Mantua St Park Forest, IL 60466","$42,900 ",3.0,1.0,"1,169"
10,41.849839,-87.762975,"5527 W 22nd Pl Cicero, IL 60804","$129,900 ",4.0,2.0,"3,220"
11,41.849839,-87.762975,"5527 W 22nd Pl Cicero, IL 60804","$129,900 ",4.0,2.0,"3,220"
12,41.77532,-87.610318,"6547 S Saint Lawrence Ave Chicago, IL 60637","$59,900 ",4.0,2.0,"2,164"
13,41.77532,-87.610318,"6547 S Saint Lawrence Ave Chicago, IL 60637","$59,900 ",4.0,2.0,"2,164"
14,41.681838,-87.631006,"324 W 117th St Chicago, IL 60628","$3,500 ",,1.0,"1,784"
15,41.681838,-87.631006,"324 W 117th St Chicago, IL 60628","$3,500 ",,1.0,"1,784"
16,41.761133,-87.646385,"7311 S Peoria St Chicago, IL 60621","$9,900 ",3.0,2.0,"1,804"
17,41.761133,-87.646385,"7311 S Peoria St Chicago, IL 60621","$9,900 ",3.0,2.0,"1,804"
18,41.769373,-87.67279,"6828 S Winchester Ave Chicago, IL 60636","$7,900 ",5.0,2.0,882
19,41.769373,-87.67279,"6828 S Winchester Ave Chicago, IL 60636","$7,900 ",5.0,2.0,882
20,41.685189,-87.65366,"1244 W 115th St Chicago, IL 60643","$42,900 ",3.0,2.0,"1,054"
21,41.685189,-87.65366,"1244 W 115th St Chicago, IL 60643","$42,900 ",3.0,2.0,"1,054"
22,41.798586,-87.66800699999999,"5229 S Hermitage Ave Chicago, IL 60609",,3.0,3.0,3
23,41.831632,-87.79607,"3315 Clinton Ave Berwyn, IL 60402","$232,500 ",4.0,1.0,"1,739"
24,42.055987,-87.696991,"2107 Darrow Ave Evanston, IL 60201",,4.0,3.0,"2,186"
25,41.774103000000004,-87.679429,"6553 S Bell Ave Chicago, IL 60636","$60,000 ",3.0,1.0,984
26,41.774103000000004,-87.679429,"6553 S Bell Ave Chicago, IL 60636","$60,000 ",3.0,1.0,984
27,41.478122,-87.692114,"6 Minocqua Ct Park Forest, IL 60466","$60,000 ",2.0,1.0,974
28,41.719158,-87.75341800000001,"9516 S 53rd Ave Oak Lawn, IL 60453","$1,100,000 ",,,
29,41.535313,-87.70885600000001,"1442 Kinross St Flossmoor, IL 60422","$359,900 ",4.0,3.5,"3,351"
30,41.582903,-87.664514,"1928 169th St Hazel Crest, IL 60429","$115,000 ",3.0,1.5,"1,744"
31,41.935321,-87.82468399999999,"7916 W Metropole St Elmwood Park, IL 60707","$359,900 ",3.0,2.0,"1,581"
32,42.023202000000005,-87.987438,"76 Forest Ln Elk Grove Village, IL 60007","$200,000 ",3.0,1.0,"1,171"
33,41.761202000000004,-87.816905,"7135 Sholer Ave Bridgeview, IL 60455","$299,900 ",4.0,2.0,"2,765"
34,41.567943,-87.5347,"3357 Madison St Lansing, IL 60438","$82,500 ",4.0,2.0,"1,152"
