latitude,longitude,Address,List_Price,beds,baths,sq_ft
41.62299,-87.541717,"668 Sibley Blvd Calumet City, IL 60409","$18,900 ",4.0,2.0,"1,152"
41.62299,-87.541717,"668 Sibley Blvd Calumet City, IL 60409","$18,900 ",4.0,2.0,"1,152"
41.636226,-87.708251,"14046 S Grace Ave Robbins, IL 60472","$16,900 ",2.0,1.0,937
41.636226,-87.708251,"14046 S Grace Ave Robbins, IL 60472","$16,900 ",2.0,1.0,937
41.636226,-87.708251,"14046 S Grace Ave Robbins, IL 60472","$16,900 ",2.0,1.0,937
41.636226,-87.708251,"14046 S Grace Ave Robbins, IL 60472","$16,900 ",2.0,1.0,937
41.763367,-87.662704,"1512 W 72nd St Chicago, IL 60636","$8,900 ",3.0,2.0,"1,056"
41.763367,-87.662704,"1512 W 72nd St Chicago, IL 60636","$8,900 ",3.0,2.0,"1,056"
41.476563,-87.695352,"244 Mantua St Park Forest, IL 60466","$42,900 ",3.0,1.0,"1,169"
41.476563,-87.695352,"244 Mantua St Park Forest, IL 60466","$42,900 ",3.0,1.0,"1,169"
41.849839,-87.762975,"5527 W 22nd Pl Cicero, IL 60804","$129,900 ",4.0,2.0,"3,220"
41.849839,-87.762975,"5527 W 22nd Pl Cicero, IL 60804","$129,900 ",4.0,2.0,"3,220"
41.77532,-87.610318,"6547 S Saint Lawrence Ave Chicago, IL 60637","$59,900 ",4.0,2.0,"2,164"
41.77532,-87.610318,"6547 S Saint Lawrence Ave Chicago, IL 60637","$59,900 ",4.0,2.0,"2,164"
41.761133,-87.646385,"7311 S Peoria St Chicago, IL 60621","$9,900 ",3.0,2.0,"1,804"
41.761133,-87.646385,"7311 S Peoria St Chicago, IL 60621","$9,900 ",3.0,2.0,"1,804"
41.769373,-87.67279,"6828 S Winchester Ave Chicago, IL 60636","$7,900 ",5.0,2.0,882
41.769373,-87.67279,"6828 S Winchester Ave Chicago, IL 60636","$7,900 ",5.0,2.0,882
41.685189,-87.65366,"1244 W 115th St Chicago, IL 60643","$42,900 ",3.0,2.0,"1,054"
41.685189,-87.65366,"1244 W 115th St Chicago, IL 60643","$42,900 ",3.0,2.0,"1,054"
41.831632,-87.79607,"3315 Clinton Ave Berwyn, IL 60402","$232,500 ",4.0,1.0,"1,739"
41.774103,-87.679429,"6553 S Bell Ave Chicago, IL 60636","$60,000 ",3.0,1.0,984
41.774103,-87.679429,"6553 S Bell Ave Chicago, IL 60636","$60,000 ",3.0,1.0,984
41.478122,-87.692114,"6 Minocqua Ct Park Forest, IL 60466","$60,000 ",2.0,1.0,974
41.535313,-87.70885600000003,"1442 Kinross St Flossmoor, IL 60422","$359,900 ",4.0,3.5,"3,351"
41.582903,-87.664514,"1928 169th St Hazel Crest, IL 60429","$115,000 ",3.0,1.5,"1,744"
41.935321,-87.82468399999998,"7916 W Metropole St Elmwood Park, IL 60707","$359,900 ",3.0,2.0,"1,581"
42.02320200000001,-87.987438,"76 Forest Ln Elk Grove Village, IL 60007","$200,000 ",3.0,1.0,"1,171"
41.761202,-87.816905,"7135 Sholer Ave Bridgeview, IL 60455","$299,900 ",4.0,2.0,"2,765"
41.567943,-87.5347,"3357 Madison St Lansing, IL 60438","$82,500 ",4.0,2.0,"1,152"
42.061784,-87.946747,"700 W Milburn Ave Mount Prospect, IL 60056","$254,900 ",3.0,1.5,"1,446"
42.098303,-87.91551700000002,"201 Patricia Ln Prospect Heights, IL 60070","$324,900 ",3.0,2.5,"1,827"
41.88176,-87.799526,"950 Washington Blvd Apt 302 Oak Park, IL 60302","$109,900 ",1.0,1.0,1
41.599929,-87.808502,"15960 Ozark Ave Tinley Park, IL 60477","$219,900 ",3.0,2.0,"1,120"
41.72294,-87.721062,"9345 S Pulaski Rd Evergreen Park, IL 60805","$250,000 ",5.0,3.5,"2,480"
41.8865181,-87.79244299999999,"107 S Euclid Ave # A Oak Park, IL 60302","$445,000 ",3.0,3.0,"2,320"
42.045011,-87.757097,"9014 Laramie Ave Skokie, IL 60077","$310,000 ",3.0,3.0,"1,878"
41.981056,-87.665972,"1426 W Rascher Ave Chicago, IL 60640","$1,224,900 ",6.0,4.0,"5,000"
41.861116,-87.626882,"1529 S State St Apt 8-D Chicago, IL 60605","$205,000 ",1.0,1.0,1
41.899685,-87.619667,"910 N Lake Shore Dr Apt 1618 Chicago, IL 60611","$335,000 ",2.0,2.0,"1,050"
41.861754,-87.621584,"1511 S Indiana Ave Unit G Chicago, IL 60605","$575,000 ",2.0,2.0,"1,800"
42.052843,-87.827412,"8000 W Foster Ln Apt 402 Niles, IL 60714","$255,000 ",3.0,2.0,"1,785"
41.714111,-87.722769,"4025 Nelson Walk Oak Lawn, IL 60453","$115,000 ",2.0,1.5,988
41.959804,-87.769269,"5650 W Pensacola Ave Chicago, IL 60634","$349,999 ",3.0,2.5,"1,098"
42.129717,-88.06649300000002,"1029 N Glenview Ct Palatine, IL 60067","$292,000 ",3.0,3.5,"2,079"
41.884839,-87.618756,"340 E Randolph St Unit 2406 Chicago, IL 60601","$598,000 ",1.0,1.5,"1,244"
41.882414,-87.840562,"600 S 6th Ave Maywood, IL 60153","$114,900 ",3.0,1.0,"1,367"
41.877575,-87.869162,"2915 Monroe St Bellwood, IL 60104","$135,000 ",3.0,1.5,"1,042"
41.991131,-88.114828,"121 Long Ave Schaumburg, IL 60193","$415,000 ",4.0,2.5,"2,085"
42.042013,-87.934289,"538 W Millers Rd Des Plaines, IL 60016","$355,000 ",3.0,2.0,"1,596"
42.113685,-87.937924,"5 E Stonegate Dr Prospect Heights, IL 60070","$335,000 ",3.0,1.5,"2,066"
41.992816,-87.688149,"6117 N Claremont Ave Apt Gn Chicago, IL 60659","$94,888 ",1.0,1.0,1
41.592421,-87.808153,"16422 Ozark Ave Tinley Park, IL 60477","$249,900 ",3.0,2.0,"1,300"
42.08198400000001,-87.981109,"77 S Evergreen Ave Unit 802 Arlington Heights, IL 60005","$389,900 ",2.0,2.5,"2,000"
41.97221500000001,-87.83452700000002,"8300 W Carmen Ave Norridge, IL 60706","$619,000 ",5.0,3.5,"2,615"
41.859268,-87.80175899999998,"1508 Wisconsin Ave Berwyn, IL 60402","$234,000 ",3.0,1.0,"1,308"
41.8316,-87.853246,"3236 Arthur Ave Brookfield, IL 60513","$239,000 ",3.0,2.0,"1,405"
42.071981,-87.798441,"1625 Glenview Rd Unit 211 Glenview, IL 60025","$394,500 ",2.0,2.0,"1,800"
41.930605,-87.645742,"646 W Drummond Pl Chicago, IL 60614","$2,395,000 ",7.0,4.5,"5,400"
41.946956,-87.698662,"3614 N California Ave Chicago, IL 60618","$749,000 ",4.0,3.5,3.5
41.666198,-87.994076,"419 Hillview Ct Lemont, IL 60439","$355,000 ",3.0,3.0,"2,287"
41.98278,-87.65527,"5556 N Sheridan Rd Apt 203 Chicago, IL 60640","$375,900 ",2.0,2.0,"1,294"
41.930323,-87.663143,"2649 N Southport Ave Apt 1 Chicago, IL 60614","$499,000 ",3.0,3.0,3
41.925779,-87.643558,"552 W Fullerton Pkwy Chicago, IL 60614","$995,750 ",3.0,3.0,3
41.936212,-87.676459,"1912 W Wellington Ave Chicago, IL 60657","$1,075,000 ",5.0,3.5,3.5
41.820345,-87.856452,"3842 Harrison Ave Brookfield, IL 60513","$209,500 ",3.0,1.0,"1,092"
41.98899,-87.819233,"7662 W Peterson Ave Chicago, IL 60631","$375,000 ",4.0,2.0,"1,725"
41.6175434,-87.83872,"8975 Dublin St # 9B Orland Park, IL 60462","$165,000 ",2.0,2.0,"1,753"
41.564852,-87.875326,"10551 Rachel Ln Orland Park, IL 60467","$345,000 ",3.0,2.5,"2,446"
42.059118,-87.8593903,"9403 Brockton Ln # B1 Des Plaines, IL 60016","$249,000 ",2.0,2.0,2
41.712179,-87.67972900000002,"9950 S Oakley Ave Chicago, IL 60643","$365,000 ",5.0,3.0,"2,400"
41.754853,-87.566636,"7714 S Yates Blvd Chicago, IL 60649","$209,900 ",4.0,3.0,"2,400"
42.049394,-87.685331,"1720 Maple Ave Apt 408 Evanston, IL 60201","$529,800 ",2.0,2.0,"1,600"
42.003651,-88.107254,"1138 Regency Dr Schaumburg, IL 60193","$208,000 ",2.0,2.5,"1,065"
41.856626,-87.868291,"1553 Bristol Ave Westchester, IL 60154","$279,900 ",3.0,2.0,"1,218"
41.76321,-87.670715,"7157 S Wolcott Ave Chicago, IL 60636","$32,900 ",2.0,1.0,792
41.881125,-87.8141,"310 Lathrop Ave Apt 500 Forest Park, IL 60130","$82,900 ",1.0,1.0,635
41.903685,-87.62535600000002,"1150 N Lake Shore Dr Apt 24K Chicago, IL 60611","$274,900 ",1.0,1.0,910
41.93573,-87.653613,"2937 N Sheffield Ave Apt 2 Chicago, IL 60657","$269,900 ",2.0,1.0,1
42.108419,-87.832115,"2150 Valencia Dr Apt 114A Northbrook, IL 60062","$269,000 ",3.0,2.0,"1,300"
42.046281,-88.093298,"1160 Valley Ln Apt 107 Hoffman Estates, IL 60169","$119,900 ",3.0,2.0,2
42.030517,-87.69547,"1610 Monroe St Apt 1E Evanston, IL 60202","$299,000 ",3.0,2.0,"1,800"
41.936246,-87.642548,"515 W Wellington Ave Chicago, IL 60657","$1,385,000 ",5.0,4.5,"4,749"
41.933869,-87.676108,"1907 W George St Chicago, IL 60657","$1,295,000 ",4.0,3.5,3.5
41.676607,-87.80243399999998,"14 Moorings Dr Palos Heights, IL 60463","$310,000 ",2.0,2.5,"2,050"
42.029975,-87.882754,"1670 Whitcomb Ave Des Plaines, IL 60018","$399,900 ",3.0,2.0,"2,789"
41.933244,-87.637119,"2800 N Lake Shore Dr Apt 2701 Chicago, IL 60657","$487,650 ",2.0,2.0,2
41.9353,-87.641525,"455 W Oakdale Ave Apt 1 Chicago, IL 60657","$514,999 ",3.0,2.0,"1,839"
42.070393,-87.731034,"408 Sandy Ln Wilmette, IL 60091","$575,000 ",4.0,2.5,"2,720"
42.150449,-88.006618,"4009 N Galena Ave Arlington Heights, IL 60004","$289,500 ",3.0,2.0,2
42.030601,-88.064076,"216 Maplebrook Ct Unit V2 Schaumburg, IL 60194","$192,500 ",2.0,2.0,"1,200"
41.948255,-87.77544,"5931 W Warwick Ave Chicago, IL 60634","$285,000 ",3.0,1.0,"1,571"
41.858569,-87.624414,"1720 S Michigan Ave Apt 1608 Chicago, IL 60616","$369,000 ",2.0,2.0,"1,100"
41.858685,-87.622659,"1712 S Indiana Ave Chicago, IL 60616","$729,900 ",3.0,3.5,"2,511"
41.972229,-87.77674499999998,"4969 N Mason Ave Chicago, IL 60630","$379,900 ",4.0,3.0,3
42.107575,-87.95706700000002,"2107 E Lillian Ln Arlington Heights, IL 60004","$425,000 ",3.0,3.5,"2,186"
42.086619,-87.92254399999999,"904 E Barberry Ln Mount Prospect, IL 60056","$259,900 ",3.0,2.5,"1,203"
42.051564,-87.923979,"906 E Golfhurst Ave Mount Prospect, IL 60056","$340,000 ",3.0,2.0,"1,373"
42.070344,-87.954286,"1255 W Prospect Ave Apt 302 Mount Prospect, IL 60056","$159,900 ",2.0,2.0,"1,342"
41.874851,-87.641703,"500 S Clinton St Apt 617 Chicago, IL 60607","$199,999 ",1.0,1.0,1
41.776931,-87.65287,"6429 S May St Chicago, IL 60621","$220,000 ",8.0,4.0,4
42.012459,-87.816726,"7232 N Oriole Ave Chicago, IL 60631","$290,000 ",4.0,4.0,960
41.927457,-87.653462,"2501 N Sheffield Ave Apt 1S Chicago, IL 60614","$899,000 ",4.0,3.0,"2,600"
41.745839,-87.734657,"8053 S Kolmar Ave Chicago, IL 60652","$254,999 ",5.0,2.0,"2,100"
41.8876854,-87.8270591,"423 Edgewood Pl # 2 River Forest, IL 60305","$137,900 ",2.0,1.0,1
42.059932,-87.934435,"328 S Maple St Mount Prospect, IL 60056","$199,900 ",3.0,1.5,"1,280"
41.941044,-87.804725,"3340 N Nottingham Ave Chicago, IL 60634","$315,000 ",4.0,2.5,"1,614"
41.986952,-87.831233,"1909 Courtland Ave Park Ridge, IL 60068","$888,000 ",5.0,5.5,"3,600"
42.030167,-87.84805300000002,"1620 Walnut St Park Ridge, IL 60068","$549,000 ",4.0,2.5,"2,000"
42.069189,-87.858397,"10361 Dearlove Rd Apt 2G Glenview, IL 60025","$169,999 ",2.0,2.0,"1,200"
41.894655,-87.616704,"680 N Lake Shore Dr Apt 417 Chicago, IL 60611","$239,900 ",1.0,1.0,"1,050"
41.959107,-87.718845,"4259 N Monticello Ave Chicago, IL 60618","$615,000 ",5.0,3.5,"3,000"
41.89509,-87.642251,"520 W Huron St Apt 513 Chicago, IL 60654","$319,000 ",1.0,1.0,935
41.846391,-87.89308,"10826 Berkshire St Westchester, IL 60154","$310,000 ",3.0,2.0,"1,256"
41.790418,-87.591179,"5735 S Dorchester Ave Chicago, IL 60637","$1,100,000 ",5.0,3.0,"2,380"
41.84168100000001,-87.9076,"2504 Camberley Cir # 2-811 Westchester, IL 60154","$315,000 ",2.0,2.0,"1,183"
41.485099,-87.683447,"5 School House Ct Park Forest, IL 60466","$61,236 ",2.0,2.5,"1,636"
41.907443,-87.807812,"1510 Bonnie Brae Pl River Forest, IL 60305","$619,000 ",4.0,2.0,"1,566"
41.927912,-87.81888199999999,"7643 W Sunset Dr Elmwood Park, IL 60707","$349,000 ",4.0,2.0,"1,788"
41.48127,-87.54956,"2932 225th St Sauk Village, IL 60411","$29,900 ",4.0,2.0,770
41.604117,-87.820975,"15724 Old Orchard Ct Unit 1E Orland Park, IL 60462","$154,900 ",2.0,2.0,2
41.83161,-87.767934,"3311 S 58th Ave Cicero, IL 60804","$214,900 ",2.0,1.5,"1,449"
41.7613053,-87.82763609999999,"7206 Bradford Ct # 140 Justice, IL 60458","$189,000 ",2.0,2.5,"1,500"
41.653316,-87.874868,"13005 Ridgewood Dr Palos Park, IL 60464","$449,000 ",3.0,2.5,"2,850"
41.9356,-87.696147,"2723 W Wellington Ave # 2 Chicago, IL 60618","$239,000 ",2.0,1.0,"1,000"
41.94797,-87.67823,"3637 N Damen Ave # 1 Chicago, IL 60618","$195,000 ",1.0,1.0,1
42.022638,-88.061954,"235 Trenton Ct Schaumburg, IL 60193","$389,900 ",3.0,2.0,"1,658"
42.117209,-88.000371,"1412 W Plymouth Dr Arlington Heights, IL 60004","$437,000 ",4.0,2.5,"2,486"
41.989365,-87.78792,"5930 N Nagle Ave Chicago, IL 60646","$339,999 ",4.0,2.5,"2,244"
42.14705,-87.821219,"305 Hickory Ct Northbrook, IL 60062","$399,999 ",4.0,2.5,2.5
42.010057,-88.180269,"106 Cambridge Ave Streamwood, IL 60107","$215,000 ",3.0,2.5,"1,537"
41.745444,-87.73173100000002,"4401 W 81st St Chicago, IL 60652","$239,900 ",4.0,2.0,"1,010"
41.666263,-87.657012,"12509 S Bishop St Calumet Park, IL 60827","$99,999 ",3.0,1.0,"1,087"
41.56254149999999,-87.663045,"Homewood, IL 60430","$144,900 ",3.0,1.5,"1,359"
41.56254149999999,-87.663045,"Homewood, IL 60430","$132,900 ",3.0,2.0,"1,200"
41.56254149999999,-87.663045,"Homewood, IL 60430","$239,900 ",4.0,2.0,"1,631"
41.56254149999999,-87.663045,"Homewood, IL 60430","$144,900 ",3.0,1.5,"1,359"
41.56254149999999,-87.663045,"Homewood, IL 60430","$132,900 ",3.0,2.0,"1,200"
41.56254149999999,-87.663045,"Homewood, IL 60430","$239,900 ",4.0,2.0,"1,631"
41.56254149999999,-87.663045,"Homewood, IL 60430","$144,900 ",3.0,1.5,"1,359"
41.56254149999999,-87.663045,"Homewood, IL 60430","$132,900 ",3.0,2.0,"1,200"
41.56254149999999,-87.663045,"Homewood, IL 60430","$239,900 ",4.0,2.0,"1,631"
41.690435,-88.009939,"10815 Christopher Dr Lemont, IL 60439","$495,000 ",4.0,2.5,"3,014"
41.99029,-87.817471,"6051 N Olympia Ave Chicago, IL 60631","$399,900 ",3.0,1.5,"1,370"
41.494196,-87.65639499999997,"34 Apache St Park Forest, IL 60466","$39,900 ",4.0,2.0,"1,120"
42.11476500000001,-88.004949,"234 N Wilke Rd Palatine, IL 60074","$299,900 ",3.0,1.5,"1,248"
41.849383,-87.818627,"2224 Westover Ave North Riverside, IL 60546","$248,000 ",3.0,2.0,"1,008"
41.823717,-87.787258,"3737 East Ave Berwyn, IL 60402","$299,000 ",5.0,2.0,2
41.84999000000001,-87.79207199999998,"6723 Riverside Dr Berwyn, IL 60402","$389,000 ",5.0,3.0,"1,650"
42.1084,-88.077457,"1336 W Hampton Pl Palatine, IL 60067","$499,999 ",5.0,3.5,"2,779"
41.552215,-87.538907,"18855 Burnham Ave Apt 231 Lansing, IL 60438","$65,000 ",2.0,2.0,"1,200"
42.078654,-87.937661,"619 N Wille St Mount Prospect, IL 60056","$284,900 ",3.0,1.0,"1,080"
41.873555,-87.66206700000002,"1402 W Flournoy St Apt 3 Chicago, IL 60607","$250,000 ",2.0,1.0,1
41.731399,-87.567413,"9006 S Oglesby Ave Chicago, IL 60617","$216,000 ",4.0,2.0,"1,932"
41.813811,-87.61735,"4432 S King Dr Chicago, IL 60653","$441,906 ",4.0,3.5,"2,160"
41.587322,-87.83302900000002,"8800 167th St Orland Hills, IL 60487","$269,900 ",3.0,2.0,"1,062"
41.69618,-87.72233100000003,"4032 W 109th St Oak Lawn, IL 60453","$219,900 ",4.0,2.0,"1,654"
41.6030541,-87.6926257,"Markham, IL 60428","$45,000 ",3.0,1.0,"1,004"
41.6030541,-87.6926257,"Markham, IL 60428","$45,000 ",3.0,1.0,"1,004"
41.982444,-87.659097,"1122 W Catalpa Ave Apt 909 Chicago, IL 60640","$255,000 ",2.0,2.0,2
41.801091,-87.87095699999998,"704 S Madison Ave La Grange, IL 60525","$479,900 ",3.0,2.5,"1,634"
42.017417,-87.849562,"534 N Home Ave Park Ridge, IL 60068","$299,900 ",4.0,2.0,"1,884"
42.0508,-87.704473,"1819 Laurel Ave Evanston, IL 60201","$325,000 ",3.0,2.0,"1,100"
41.681549,-87.736498,"11610 S Joalyce Dr Alsip, IL 60803","$148,000 ",3.0,2.0,"1,658"
41.875832,-87.85631500000002,"1226 S 19th Ave Maywood, IL 60153","$55,000 ",2.0,1.0,"1,013"
41.913506,-87.705433,"1753 N Troy St Chicago, IL 60647","$899,000 ",5.0,3.5,"3,600"
41.620616,-87.772994,"14880 Harbor Dr Oak Forest, IL 60452","$389,000 ",5.0,2.5,"2,919"
41.610893,-87.79600400000002,"15437 S 73rd Ave Orland Park, IL 60462","$170,000 ",2.0,2.5,"1,300"
42.087238,-87.96875899999998,"420 N Derbyshire Ave Arlington Heights, IL 60004","$875,000 ",5.0,4.5,"3,569"
41.9105074,-87.66871809999999,"1917 W Potomac Ave # 2 Chicago, IL 60622","$459,000 ",2.0,2.0,"1,500"
41.893069,-87.615103,"600 N Lake Shore Dr Apt 1002 Chicago, IL 60611","$766,000 ",2.0,2.0,"1,475"
41.823661,-87.609381,"718 E Pershing Rd Chicago, IL 60653","$410,000 ",3.0,2.5,"2,931"
41.69543,-87.77080600000002,"10812 McVicker Ave Chicago Ridge, IL 60415","$190,000 ",4.0,1.5,"1,368"
41.952403,-87.867069,"4039 Prairie Ave Schiller Park, IL 60176","$278,500 ",4.0,2.0,"1,640"
41.99812,-87.98898299999998,"299 Fern Dr Elk Grove Village, IL 60007","$274,500 ",4.0,2.0,2
41.822707,-87.763485,"3822 S Central Ave Cicero, IL 60804","$134,900 ",2.0,1.0,958
41.949542,-87.879253,"10121 Hartford Ct Apt 1A Schiller Park, IL 60176","$129,000 ",2.0,1.0,756
41.829401,-87.83551899999998,"8517 Rockefeller Ave Brookfield, IL 60513","$327,900 ",3.0,2.0,"1,400"
42.059916,-87.682063,"2314 Sherman Ave Unit 1E Evanston, IL 60201","$232,000 ",2.0,2.0,"1,150"
41.888243,-87.752555,"411 N Leclaire Ave Chicago, IL 60644","$65,000 ",3.0,1.5,900
41.73324,-87.623722,"8843 S State St Chicago, IL 60619","$164,900 ",4.0,3.0,3
41.91865900000001,-87.65859,"2024 N Racine Ave Apt F Chicago, IL 60614","$849,000 ",4.0,3.5,3.5
41.915393,-87.709063,"1856 N Sawyer Ave Apt 201 Chicago, IL 60647","$299,000 ",2.0,2.0,"1,100"
42.128254,-87.901705,"681 Prestwick Ln Wheeling, IL 60090","$335,000 ",3.0,2.5,"2,100"
41.98096500000001,-87.784992,"5459 N Mobile Ave Chicago, IL 60630","$375,000 ",4.0,2.0,"2,000"
41.936386,-87.698854,"2827 W Nelson St Chicago, IL 60618","$334,900 ",3.0,2.0,"1,500"
41.999837,-87.79599,"6522 N Oak Park Ave Chicago, IL 60631","$579,900 ",6.0,4.0,"3,150"
41.957875,-87.79968000000002,"6848 W Forest Preserve Dr Harwood Heights, IL 60706","$409,900 ",5.0,2.0,"2,226"
42.04645900000001,-87.685412,"1572 Maple Ave Apt 304 Evanston, IL 60201","$595,000 ",3.0,2.5,"1,746"
42.096558,-88.07603399999998,"763 S Spring Willow Bay Palatine, IL 60067","$499,901 ",5.0,2.5,"2,548"
41.890222,-87.893976,"109 50th Ave Bellwood, IL 60104","$269,900 ",5.0,2.5,"2,400"
41.94184600000001,-87.81219300000002,"3414 N Oketo Ave Chicago, IL 60634","$314,900 ",5.0,2.0,"1,200"
41.976053,-87.786103,"6320 W Higgins Ave Apt 402 Chicago, IL 60630","$229,000 ",2.0,2.0,"1,230"
42.014454,-87.891242,"1327 Highland Dr Apt D Des Plaines, IL 60018","$199,000 ",3.0,1.5,1.5
41.994252,-87.66212,"1241 W Granville Ave Chicago, IL 60660","$333,000 ",2.0,1.0,"1,700"
42.14772,-87.881069,"4125 Applewood Ln Northbrook, IL 60062","$550,000 ",4.0,2.5,"2,800"
42.021909,-88.069242,"422 E Beech Dr Schaumburg, IL 60193","$408,000 ",3.0,2.0,"1,910"
42.063864,-87.82138,"2540 Bel Air Dr Glenview, IL 60025","$495,000 ",4.0,2.0,2
41.93366,-87.662824,"1340 W Wolfram St Chicago, IL 60657","$750,000 ",4.0,2.0,"1,400"
42.0591,-87.837338,"230 Glendale Rd Glenview, IL 60025","$449,900 ",4.0,3.0,"2,471"
41.825905,-87.762339,"3636 S 55th Ct Cicero, IL 60804","$180,000 ",4.0,3.0,948
41.876822,-87.79450200000002,"633 S Oak Park Ave Oak Park, IL 60304","$649,000 ",4.0,4.0,"2,578"
41.655677,-87.896403,"6 Partridge Ln Palos Park, IL 60464","$749,900 ",4.0,3.0,"5,000"
42.029468,-88.154107,"195 Holmes Way Schaumburg, IL 60193","$254,900 ",3.0,2.5,"1,620"
41.91435300000001,-87.710709,"1820 N Spaulding Ave Apt 306 Chicago, IL 60647","$284,900 ",2.0,1.0,1
41.931372,-87.652247,"2717 N Wilton Ave Apt 3N Chicago, IL 60614","$495,000 ",2.0,2.0,2
41.867379,-87.814453,"1029 Lathrop Ave Forest Park, IL 60130","$265,000 ",3.0,1.0,"1,122"
41.865781,-87.813604,"1120 Lathrop Ave Forest Park, IL 60130","$377,000 ",3.0,2.5,"1,800"
41.978819,-87.710837,"5343 N Spaulding Ave Chicago, IL 60625","$315,000 ",3.0,1.5,"1,324"
42.006143,-87.746388,"6850 N Kilpatrick Ave Lincolnwood, IL 60712","$535,000 ",3.0,2.5,"2,327"
42.077347,-87.823631,"2620 Park Ln Glenview, IL 60025","$819,000 ",4.0,3.5,"3,170"
41.944353,-87.641529,"3440 N Lake Shore Dr Apt 10E Chicago, IL 60657","$175,000 ",1.0,1.0,1
41.974919,-87.734737,"5142 N Tripp Ave Chicago, IL 60630","$550,000 ",6.0,3.5,"3,400"
41.87416,-87.63288,"161 W Harrison St Chicago, IL 60605","$318,500 ",2.0,2.0,"1,200"
41.69705,-87.68783499999998,"10800 S Talman Ave Chicago, IL 60655","$320,000 ",3.0,2.0,"1,600"
42.067404,-87.780447,"840 Polo Ln Glenview, IL 60025","$1,050,000 ",5.0,3.0,"4,020"
42.07030200000001,-87.693366,"204 5th St Wilmette, IL 60091","$735,000 ",3.0,2.5,2.5
42.017933,-87.663732,"1321 W Birchwood Ave Apt 307 Chicago, IL 60626","$149,900 ",1.0,1.0,900
41.55958,-87.650051,"1344 Olive Rd Homewood, IL 60430","$175,000 ",3.0,2.0,"1,319"
41.93643400000001,-87.696338,"2725 W Nelson St Chicago, IL 60618","$469,000 ",3.0,2.5,2.5
42.029468,-88.154107,"2870 Meadow Ln Unit Z2 Schaumburg, IL 60193","$167,900 ",2.0,2.0,"1,200"
42.035636,-88.164937,"18 N Victoria Ln Apt D Streamwood, IL 60107","$146,900 ",2.0,1.0,1
42.077699,-88.022163,"3255 Kirchoff Rd Apt 212 Rolling Meadows, IL 60008","$122,500 ",2.0,2.0,900
42.05107,-87.865838,"9413 Bay Colony Dr Apt 2S Des Plaines, IL 60016","$139,000 ",2.0,1.0,1
42.133417,-87.934561,"295 Cindy Ln Wheeling, IL 60090","$189,900 ",3.0,1.0,"1,011"
42.098771,-87.94459499999998,"110 Prospect Ct Prospect Heights, IL 60070","$499,000 ",4.0,3.5,"28,843"
41.6920048,-87.7534865,"10914 Lorel Ave # 10914 Oak Lawn, IL 60453","$199,995 ",2.0,2.0,"1,800"
41.824165,-87.878489,"525 N Stone Ave La Grange Park, IL 60526","$429,900 ",3.0,1.5,"1,560"
42.135207,-87.931569,"204 George Rd Wheeling, IL 60090","$195,000 ",3.0,1.0,972
41.560038,-87.563019,"2279 184th Pl Lansing, IL 60438","$160,000 ",3.0,1.5,"1,600"
41.697899,-87.722894,"4044 Grant St Oak Lawn, IL 60453","$214,900 ",3.0,2.0,"1,559"
41.691104,-87.76379,"11037 Menard Ave Chicago Ridge, IL 60415","$225,000 ",3.0,2.0,2
41.750107,-87.78185699999997,"7800 Nagle Ave Burbank, IL 60459","$269,900 ",3.0,2.0,"1,152"
41.55236,-87.69245699999998,"3106 Hedgerow Ln Homewood, IL 60430","$219,900 ",4.0,3.0,"2,155"
