,latitude,longitude,Address,List_Price,beds,baths,sq_ft,knn_predict,gnb_predict
0,41.62299,-87.541717,"668 Sibley Blvd Calumet City, IL 60409","$18,900 ",4.0,2.0,1152.0,21000.0,102000.0
1,41.62299,-87.541717,"668 Sibley Blvd Calumet City, IL 60409","$18,900 ",4.0,2.0,1152.0,21000.0,102000.0
2,41.636226,-87.708251,"14046 S Grace Ave Robbins, IL 60472","$16,900 ",2.0,1.0,937.0,44000.0,127500.0
3,41.636226,-87.708251,"14046 S Grace Ave Robbins, IL 60472","$16,900 ",2.0,1.0,937.0,44000.0,127500.0
4,41.636226,-87.708251,"14046 S Grace Ave Robbins, IL 60472","$16,900 ",2.0,1.0,937.0,44000.0,127500.0
5,41.636226,-87.708251,"14046 S Grace Ave Robbins, IL 60472","$16,900 ",2.0,1.0,937.0,44000.0,127500.0
6,41.763366999999995,-87.662704,"1512 W 72nd St Chicago, IL 60636","$8,900 ",3.0,2.0,1056.0,71500.0,135000.0
7,41.763366999999995,-87.662704,"1512 W 72nd St Chicago, IL 60636","$8,900 ",3.0,2.0,1056.0,71500.0,135000.0
8,41.476563,-87.695352,"244 Mantua St Park Forest, IL 60466","$42,900 ",3.0,1.0,1169.0,25000.0,102000.0
9,41.476563,-87.695352,"244 Mantua St Park Forest, IL 60466","$42,900 ",3.0,1.0,1169.0,25000.0,102000.0
10,41.849839,-87.762975,"5527 W 22nd Pl Cicero, IL 60804","$129,900 ",4.0,2.0,3220.0,98000.0,90000.0
11,41.849839,-87.762975,"5527 W 22nd Pl Cicero, IL 60804","$129,900 ",4.0,2.0,3220.0,98000.0,90000.0
12,41.77532,-87.610318,"6547 S Saint Lawrence Ave Chicago, IL 60637","$59,900 ",4.0,2.0,2164.0,5000.0,418000.0
13,41.77532,-87.610318,"6547 S Saint Lawrence Ave Chicago, IL 60637","$59,900 ",4.0,2.0,2164.0,5000.0,418000.0
14,41.761133,-87.646385,"7311 S Peoria St Chicago, IL 60621","$9,900 ",3.0,2.0,1804.0,5000.0,179000.0
15,41.761133,-87.646385,"7311 S Peoria St Chicago, IL 60621","$9,900 ",3.0,2.0,1804.0,5000.0,179000.0
16,41.769373,-87.67279,"6828 S Winchester Ave Chicago, IL 60636","$7,900 ",5.0,2.0,882.0,71500.0,30000.0
17,41.769373,-87.67279,"6828 S Winchester Ave Chicago, IL 60636","$7,900 ",5.0,2.0,882.0,71500.0,30000.0
18,41.685189,-87.65366,"1244 W 115th St Chicago, IL 60643","$42,900 ",3.0,2.0,1054.0,39500.0,135000.0
19,41.685189,-87.65366,"1244 W 115th St Chicago, IL 60643","$42,900 ",3.0,2.0,1054.0,39500.0,135000.0
20,41.831632,-87.79607,"3315 Clinton Ave Berwyn, IL 60402","$232,500 ",4.0,1.0,1739.0,80000.0,324000.0
21,41.774103000000004,-87.679429,"6553 S Bell Ave Chicago, IL 60636","$60,000 ",3.0,1.0,984.0,71500.0,135000.0
22,41.774103000000004,-87.679429,"6553 S Bell Ave Chicago, IL 60636","$60,000 ",3.0,1.0,984.0,71500.0,135000.0
23,41.478122,-87.692114,"6 Minocqua Ct Park Forest, IL 60466","$60,000 ",2.0,1.0,974.0,25000.0,180000.0
24,41.535313,-87.70885600000004,"1442 Kinross St Flossmoor, IL 60422","$359,900 ",4.0,3.5,3351.0,40500.0,50000.0
25,41.582903,-87.664514,"1928 169th St Hazel Crest, IL 60429","$115,000 ",3.0,1.5,1744.0,26500.0,179000.0
26,41.935321,-87.82468399999998,"7916 W Metropole St Elmwood Park, IL 60707","$359,900 ",3.0,2.0,1581.0,118000.0,200000.0
27,42.02320200000001,-87.987438,"76 Forest Ln Elk Grove Village, IL 60007","$200,000 ",3.0,1.0,1171.0,125000.0,2252500.0
28,41.761202000000004,-87.816905,"7135 Sholer Ave Bridgeview, IL 60455","$299,900 ",4.0,2.0,2765.0,65500.0,100000.0
29,41.567943,-87.5347,"3357 Madison St Lansing, IL 60438","$82,500 ",4.0,2.0,1152.0,21000.0,102000.0
30,42.061784,-87.946747,"700 W Milburn Ave Mount Prospect, IL 60056","$254,900 ",3.0,1.5,1446.0,101000.0,137000.0
31,42.098303,-87.91551700000002,"201 Patricia Ln Prospect Heights, IL 60070","$324,900 ",3.0,2.5,1827.0,86000.0,324000.0
32,41.88176,-87.799526,"950 Washington Blvd Apt 302 Oak Park, IL 60302","$109,900 ",1.0,1.0,1.0,73500.0,100000.0
33,41.599928999999996,-87.808502,"15960 Ozark Ave Tinley Park, IL 60477","$219,900 ",3.0,2.0,1120.0,100000.0,140000.0
34,41.72294,-87.721062,"9345 S Pulaski Rd Evergreen Park, IL 60805","$250,000 ",5.0,3.5,2480.0,72000.0,100000.0
35,41.8865181,-87.79244299999998,"107 S Euclid Ave # A Oak Park, IL 60302","$445,000 ",3.0,3.0,2320.0,73500.0,100000.0
36,42.045010999999995,-87.757097,"9014 Laramie Ave Skokie, IL 60077","$310,000 ",3.0,3.0,1878.0,99000.0,324000.0
37,41.981056,-87.665972,"1426 W Rascher Ave Chicago, IL 60640","$1,224,900 ",6.0,4.0,5000.0,227500.0,845000.0
38,41.861115999999996,-87.626882,"1529 S State St Apt 8-D Chicago, IL 60605","$205,000 ",1.0,1.0,1.0,152000.0,255000.0
39,41.899685,-87.619667,"910 N Lake Shore Dr Apt 1618 Chicago, IL 60611","$335,000 ",2.0,2.0,1050.0,223500.0,487000.0
40,41.861754,-87.621584,"1511 S Indiana Ave Unit G Chicago, IL 60605","$575,000 ",2.0,2.0,1800.0,152000.0,245000.0
41,42.052842999999996,-87.827412,"8000 W Foster Ln Apt 402 Niles, IL 60714","$255,000 ",3.0,2.0,1785.0,106500.0,324000.0
42,41.714110999999995,-87.722769,"4025 Nelson Walk Oak Lawn, IL 60453","$115,000 ",2.0,1.5,988.0,72000.0,125500.0
43,41.959804,-87.769269,"5650 W Pensacola Ave Chicago, IL 60634","$349,999 ",3.0,2.5,1098.0,120000.0,140000.0
44,42.129717,-88.06649300000002,"1029 N Glenview Ct Palatine, IL 60067","$292,000 ",3.0,3.5,2079.0,195000.0,528000.0
45,41.884839,-87.618756,"340 E Randolph St Unit 2406 Chicago, IL 60601","$598,000 ",1.0,1.5,1244.0,352000.0,460000.0
46,41.882414000000004,-87.840562,"600 S 6th Ave Maywood, IL 60153","$114,900 ",3.0,1.0,1367.0,73500.0,145000.0
47,41.877575,-87.869162,"2915 Monroe St Bellwood, IL 60104","$135,000 ",3.0,1.5,1042.0,53000.0,135000.0
48,41.991131,-88.114828,"121 Long Ave Schaumburg, IL 60193","$415,000 ",4.0,2.5,2085.0,115000.0,169500.0
49,42.042013,-87.934289,"538 W Millers Rd Des Plaines, IL 60016","$355,000 ",3.0,2.0,1596.0,101000.0,174000.0
50,42.113685,-87.937924,"5 E Stonegate Dr Prospect Heights, IL 60070","$335,000 ",3.0,1.5,2066.0,86000.0,100000.0
51,41.992816,-87.688149,"6117 N Claremont Ave Apt Gn Chicago, IL 60659","$94,888 ",1.0,1.0,1.0,124000.0,90000.0
52,41.592421,-87.808153,"16422 Ozark Ave Tinley Park, IL 60477","$249,900 ",3.0,2.0,1300.0,100000.0,191000.0
53,42.08198400000001,-87.981109,"77 S Evergreen Ave Unit 802 Arlington Heights, IL 60005","$389,900 ",2.0,2.5,2000.0,137500.0,245000.0
54,41.97221500000001,-87.83452700000002,"8300 W Carmen Ave Norridge, IL 60706","$619,000 ",5.0,3.5,2615.0,118000.0,90000.0
55,41.859268,-87.80175899999998,"1508 Wisconsin Ave Berwyn, IL 60402","$234,000 ",3.0,1.0,1308.0,73500.0,135000.0
56,41.8316,-87.853246,"3236 Arthur Ave Brookfield, IL 60513","$239,000 ",3.0,2.0,1405.0,80000.0,145000.0
57,42.071981,-87.798441,"1625 Glenview Rd Unit 211 Glenview, IL 60025","$394,500 ",2.0,2.0,1800.0,220000.0,499000.0
58,41.930605,-87.645742,"646 W Drummond Pl Chicago, IL 60614","$2,395,000 ",7.0,4.5,5400.0,235000.0,845000.0
59,41.946956,-87.698662,"3614 N California Ave Chicago, IL 60618","$749,000 ",4.0,3.5,3.5,202000.0,350000.0
60,41.666198,-87.994076,"419 Hillview Ct Lemont, IL 60439","$355,000 ",3.0,3.0,2287.0,166000.0,245000.0
61,41.98278,-87.65527,"5556 N Sheridan Rd Apt 203 Chicago, IL 60640","$375,900 ",2.0,2.0,1294.0,170000.0,191000.0
62,41.930323,-87.663143,"2649 N Southport Ave Apt 1 Chicago, IL 60614","$499,000 ",3.0,3.0,3.0,100000.0,90000.0
63,41.925779,-87.643558,"552 W Fullerton Pkwy Chicago, IL 60614","$995,750 ",3.0,3.0,3.0,235000.0,350000.0
64,41.936212,-87.676459,"1912 W Wellington Ave Chicago, IL 60657","$1,075,000 ",5.0,3.5,3.5,350000.0,365000.0
65,41.820345,-87.856452,"3842 Harrison Ave Brookfield, IL 60513","$209,500 ",3.0,1.0,1092.0,80000.0,135000.0
66,41.98899,-87.819233,"7662 W Peterson Ave Chicago, IL 60631","$375,000 ",4.0,2.0,1725.0,118000.0,229500.0
67,41.6175434,-87.83872,"8975 Dublin St # 9B Orland Park, IL 60462","$165,000 ",2.0,2.0,1753.0,100000.0,324000.0
68,41.564852,-87.875326,"10551 Rachel Ln Orland Park, IL 60467","$345,000 ",3.0,2.5,2446.0,145000.0,245000.0
69,42.059118,-87.85939029999999,"9403 Brockton Ln # B1 Des Plaines, IL 60016","$249,000 ",2.0,2.0,2.0,106500.0,90000.0
70,41.712179,-87.67972900000002,"9950 S Oakley Ave Chicago, IL 60643","$365,000 ",5.0,3.0,2400.0,72000.0,100000.0
71,41.754853000000004,-87.566636,"7714 S Yates Blvd Chicago, IL 60649","$209,900 ",4.0,3.0,2400.0,5000.0,418000.0
72,42.049394,-87.685331,"1720 Maple Ave Apt 408 Evanston, IL 60201","$529,800 ",2.0,2.0,1600.0,247500.0,415000.0
73,42.003651,-88.107254,"1138 Regency Dr Schaumburg, IL 60193","$208,000 ",2.0,2.5,1065.0,129000.0,130000.0
74,41.856626,-87.868291,"1553 Bristol Ave Westchester, IL 60154","$279,900 ",3.0,2.0,1218.0,73500.0,135000.0
75,41.76321,-87.670715,"7157 S Wolcott Ave Chicago, IL 60636","$32,900 ",2.0,1.0,792.0,71500.0,60000.0
76,41.881125,-87.8141,"310 Lathrop Ave Apt 500 Forest Park, IL 60130","$82,900 ",1.0,1.0,635.0,73500.0,73500.0
77,41.903684999999996,-87.62535600000002,"1150 N Lake Shore Dr Apt 24K Chicago, IL 60611","$274,900 ",1.0,1.0,910.0,1300000.0,1300000.0
78,41.93573,-87.653613,"2937 N Sheffield Ave Apt 2 Chicago, IL 60657","$269,900 ",2.0,1.0,1.0,467000.0,365000.0
79,42.108419,-87.832115,"2150 Valencia Dr Apt 114A Northbrook, IL 60062","$269,000 ",3.0,2.0,1300.0,281000.0,429000.0
80,42.046281,-88.093298,"1160 Valley Ln Apt 107 Hoffman Estates, IL 60169","$119,900 ",3.0,2.0,2.0,121000.0,169500.0
81,42.030516999999996,-87.69547,"1610 Monroe St Apt 1E Evanston, IL 60202","$299,000 ",3.0,2.0,1800.0,127000.0,245000.0
82,41.936246000000004,-87.642548,"515 W Wellington Ave Chicago, IL 60657","$1,385,000 ",5.0,4.5,4749.0,154000.0,71500.0
83,41.933869,-87.676108,"1907 W George St Chicago, IL 60657","$1,295,000 ",4.0,3.5,3.5,350000.0,365000.0
84,41.676607000000004,-87.80243399999998,"14 Moorings Dr Palos Heights, IL 60463","$310,000 ",2.0,2.5,2050.0,98500.0,90000.0
85,42.029975,-87.882754,"1670 Whitcomb Ave Des Plaines, IL 60018","$399,900 ",3.0,2.0,2789.0,110000.0,90000.0
86,41.933244,-87.637119,"2800 N Lake Shore Dr Apt 2701 Chicago, IL 60657","$487,650 ",2.0,2.0,2.0,154000.0,255000.0
87,41.9353,-87.641525,"455 W Oakdale Ave Apt 1 Chicago, IL 60657","$514,999 ",3.0,2.0,1839.0,154000.0,245000.0
88,42.070393,-87.731034,"408 Sandy Ln Wilmette, IL 60091","$575,000 ",4.0,2.5,2720.0,99000.0,90000.0
89,42.150449,-88.006618,"4009 N Galena Ave Arlington Heights, IL 60004","$289,500 ",3.0,2.0,2.0,173000.0,350000.0
90,42.030601000000004,-88.064076,"216 Maplebrook Ct Unit V2 Schaumburg, IL 60194","$192,500 ",2.0,2.0,1200.0,145000.0,189000.0
91,41.948254999999996,-87.77544,"5931 W Warwick Ave Chicago, IL 60634","$285,000 ",3.0,1.0,1571.0,210000.0,499000.0
92,41.858569,-87.624414,"1720 S Michigan Ave Apt 1608 Chicago, IL 60616","$369,000 ",2.0,2.0,1100.0,152000.0,170000.0
93,41.858684999999994,-87.622659,"1712 S Indiana Ave Chicago, IL 60616","$729,900 ",3.0,3.5,2511.0,152000.0,255000.0
94,41.972229,-87.77674499999998,"4969 N Mason Ave Chicago, IL 60630","$379,900 ",4.0,3.0,3.0,120000.0,169500.0
95,42.107575,-87.95706700000002,"2107 E Lillian Ln Arlington Heights, IL 60004","$425,000 ",3.0,3.5,2186.0,86000.0,100000.0
96,42.086619,-87.92254399999999,"904 E Barberry Ln Mount Prospect, IL 60056","$259,900 ",3.0,2.5,1203.0,101000.0,140000.0
97,42.051564,-87.923979,"906 E Golfhurst Ave Mount Prospect, IL 60056","$340,000 ",3.0,2.0,1373.0,101000.0,145000.0
98,42.070344,-87.954286,"1255 W Prospect Ave Apt 302 Mount Prospect, IL 60056","$159,900 ",2.0,2.0,1342.0,101000.0,145000.0
99,41.874851,-87.641703,"500 S Clinton St Apt 617 Chicago, IL 60607","$199,999 ",1.0,1.0,1.0,153000.0,255000.0
100,41.776931,-87.65287,"6429 S May St Chicago, IL 60621","$220,000 ",8.0,4.0,4.0,71500.0,100000.0
101,42.012459,-87.816726,"7232 N Oriole Ave Chicago, IL 60631","$290,000 ",4.0,4.0,960.0,115000.0,118000.0
102,41.927457000000004,-87.653462,"2501 N Sheffield Ave Apt 1S Chicago, IL 60614","$899,000 ",4.0,3.0,2600.0,490000.0,716000.0
103,41.745839000000004,-87.734657,"8053 S Kolmar Ave Chicago, IL 60652","$254,999 ",5.0,2.0,2100.0,72000.0,100000.0
104,41.8876854,-87.82705909999999,"423 Edgewood Pl # 2 River Forest, IL 60305","$137,900 ",2.0,1.0,1.0,73500.0,100000.0
105,42.059932,-87.934435,"328 S Maple St Mount Prospect, IL 60056","$199,900 ",3.0,1.5,1280.0,101000.0,135000.0
